Obs.	statenum	casenum	vnumber	pnumber	city	county	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
18882	45	621	2	1	0	69	09072016	7	9	2016	0	34.66893333	-79.62538333	88	1	0	0	0	3	6	0	1	12	24	2011	0	0	1	28	0	0	0	96	
18883	45	621	3	1	0	69	09072016	7	9	2016	0	34.66893333	-79.62538333	44	20	0	0	0	3	6	0	0	18	24	2011	0	0	1	0	0	0	0	96	
18884	45	621	3	2	0	69	09072016	7	9	2016	0	34.66893333	-79.62538333	11	20	0	0	0	3	6	0	0	18	24	2011	0	0	1	0	0	0	0	96	
18885	45	622	1	1	2200	91	09072016	7	9	2016	0	34.91371389	-81.04471389	72	8	0	0	0	3	5	0	1	49	46	2013	0	0	1	0	0	0	0	96	
18886	45	622	1	2	2200	91	09072016	7	9	2016	0	34.91371389	-81.04471389	72	8	0	0	0	3	5	0	1	49	46	2013	0	0	1	0	0	0	0	96	
18887	45	622	1	3	2200	91	09072016	7	9	2016	0	34.91371389	-81.04471389	62	0	0	0	0	3	5	0	1	49	46	2013	0	0	1	0	0	0	0	96	
18888	45	628	2	1	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	56	1	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18889	45	628	2	2	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	51	1	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18890	45	628	2	3	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	13	0	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18891	45	628	2	4	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	16	0	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18892	45	628	2	5	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	82	0	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18893	45	628	2	6	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	80	0	0	0	0	3	20	0	1	7	442	2016	0	0	1	0	0	0	0	96	
18894	45	628	5	1	0	23	09012016	1	9	2016	0	34.76922778	-81.03735278	39	20	0	0	0	3	14	0	0	55	401	2016	0	0	1	0	0	0	0	96	
18895	45	630	1	1	0	91	09092016	9	9	2016	0	35.02524722	-80.97392778	36	20	0	0	0	3	31	0	0	12	481	2015	0	0	1	38	0	0	0	00	
18896	45	632	1	1	0	53	09102016	10	9	2016	0	32.10579167	-81.08516667	24	99	0	0	0	99	4	0	0	20	2	2015	0	0	1	0	0	0	0	99	
18897	45	632	1	2	0	53	09102016	10	9	2016	0	32.10579167	-81.08516667	22	99	0	0	0	99	4	0	0	20	2	2015	0	0	1	0	0	0	0	99	
18898	45	636	1	1	520	79	09112016	11	9	2016	0	34.08700556	-80.87536667	65	1	0	0	0	3	31	0	0	20	481	2015	0	0	1	0	0	0	0	96	
18899	45	636	1	2	520	79	09112016	11	9	2016	0	34.08700556	-80.87536667	21	1	0	0	0	3	31	0	0	20	481	2015	0	0	1	0	0	0	0	96	
18900	45	639	2	1	0	57	09142016	14	9	2016	0	34.75255556	-80.54960556	69	1	0	0	0	3	4	0	1	49	32	2011	0	0	1	0	0	0	0	96	
18901	45	643	1	1	0	7	09172016	17	9	2016	0	34.62081944	-82.53498056	64	8	0	0	0	3	31	0	0	7	482	2008	0	0	1	0	0	0	0	00	
18902	45	644	2	1	0	59	08062016	6	8	2016	0	34.72050556	-82.16780833	36	1	0	0	0	3	6	0	0	52	47	2013	0	0	1	0	0	0	0	96	
18903	45	644	2	2	0	59	08062016	6	8	2016	0	34.72050556	-82.16780833	26	1	0	0	0	3	6	0	0	52	47	2013	0	0	1	0	0	0	0	96	
18904	45	645	2	1	2530	35	08162016	16	8	2016	0	33.03831944	-80.14780000	43	8	0	0	0	3	14	0	0	58	402	2013	0	0	1	38	0	0	0	96	
18905	45	647	1	1	0	7	09172016	17	9	2016	0	34.47640278	-82.75036111	67	20	0	0	0	3	31	0	0	20	481	2014	0	0	1	38	0	0	0	96	
18906	45	652	1	1	1730	51	09232016	23	9	2016	0	33.72065833	-78.88064722	68	8	0	0	0	3	14	0	0	2	404	2016	0	0	1	0	0	0	0	96	
18907	45	652	2	1	1730	51	09232016	23	9	2016	0	33.72065833	-78.88064722	36	8	0	0	0	7	31	0	1	20	481	2013	0	0	1	0	0	0	0	96	
18908	45	652	3	1	1730	51	09232016	23	9	2016	0	33.72065833	-78.88064722	51	8	0	0	0	3	14	0	0	12	401	2016	0	0	1	0	0	0	0	96	
18909	45	652	3	2	1730	51	09232016	23	9	2016	0	33.72065833	-78.88064722	29	2	0	0	0	3	14	0	0	12	401	2016	0	0	1	0	0	0	0	96	
18910	45	653	1	1	0	63	09232016	23	9	2016	0	33.97934444	-81.30811389	19	20	0	0	0	3	31	0	0	20	481	2009	0	0	1	0	0	0	0	96	
18911	45	653	1	2	0	63	09232016	23	9	2016	0	33.97934444	-81.30811389	21	20	0	0	0	3	31	0	0	20	481	2009	0	0	1	0	0	0	0	96	
18912	45	654	1	1	0	55	09242016	24	9	2016	0	34.20598611	-80.85426944	27	8	0	0	0	3	4	0	2	63	34	2015	0	0	1	39	28	0	0	96	
18913	45	654	1	2	0	55	09242016	24	9	2016	0	34.20598611	-80.85426944	46	8	0	0	0	3	4	0	2	63	34	2015	0	0	1	39	28	0	0	96	
18914	45	658	1	1	0	71	09242016	24	9	2016	0	34.36163056	-81.46496944	31	20	0	0	0	3	6	0	0	52	47	2014	0	0	1	0	0	0	0	96	
18915	45	663	1	1	0	59	09262016	26	9	2016	0	34.64466111	-82.12409444	36	20	0	0	0	3	14	0	0	63	402	2011	0	0	1	0	0	0	0	96	
18916	45	666	1	1	0	35	09272016	27	9	2016	0	32.96904444	-80.20549444	25	1	0	0	0	3	6	0	0	48	45	2009	0	0	1	0	0	0	0	96	
18917	45	672	2	1	0	7	09292016	29	9	2016	0	34.51943611	-82.59495000	77	8	0	0	0	3	4	0	1	18	22	2010	0	0	1	0	0	0	0	96	
18918	45	674	1	1	0	27	09292016	29	9	2016	0	33.62906389	-80.19060556	80	8	0	0	0	7	20	0	1	6	441	2015	0	0	1	28	0	0	0	96	
18919	45	676	2	1	0	15	05052016	5	5	2016	0	33.30835000	-79.97237778	33	1	0	0	0	3	6	0	0	52	47	2015	0	0	1	28	0	0	0	96	
18920	45	676	2	2	0	15	05052016	5	5	2016	0	33.30835000	-79.97237778	35	1	0	0	0	3	6	0	0	52	47	2015	0	0	1	28	0	0	0	96	
18921	45	678	1	1	1805	19	08162016	16	8	2016	0	32.89806944	-79.98553333	62	20	0	0	0	3	15	0	0	23	421	2009	0	0	1	0	0	0	0	96	
18922	45	679	1	1	1145	13	08182016	18	8	2016	0	32.20643611	-80.69676944	64	20	0	0	0	3	30	0	0	12	471	2011	0	0	1	28	0	0	0	96	
18923	45	680	2	1	1805	19	06102016	10	6	2016	0	32.86165000	-79.99770000	35	8	0	0	0	3	6	0	1	63	37	2015	0	0	1	0	0	0	0	96	
18924	45	680	2	2	1805	19	06102016	10	6	2016	0	32.86165000	-79.99770000	66	8	0	0	0	3	6	0	1	63	37	2015	0	0	1	0	0	0	0	96	
18925	45	681	1	1	1300	89	07012016	1	7	2016	0	33.67168611	-79.83702500	36	1	0	0	0	7	1	0	2	20	9	2015	0	0	1	28	8	0	0	96	
18926	45	681	1	2	1300	89	07012016	1	7	2016	0	33.67168611	-79.83702500	36	1	0	0	0	7	1	0	2	20	9	2015	0	0	1	28	8	0	0	96	
18927	45	682	2	1	0	15	08072016	7	8	2016	0	33.11927222	-80.27373056	34	20	0	0	0	3	4	0	0	37	32	2015	0	0	1	8	0	0	0	96	
18928	45	683	1	1	140	13	09052016	5	9	2016	0	32.51961389	-80.75131389	22	8	0	0	0	7	4	0	0	49	40	2015	0	0	1	8	0	0	0	96	
