Obs.	statenum	casenum	vnumber	pnumber	city	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
20485	42	543	1	1	0	07242017	24	7	2017	0	40.39866667	-79.50346667	33	1	0	0	0	20	6	0	1	52	47	2014	0	0	1	0	0	0	0	96	
20486	42	544	2	1	0	07032017	3	7	2017	0	41.29175278	-75.83176667	26	20	0	0	0	3	14	0	0	2	407	2014	0	0	1	0	0	0	0	96	
20487	42	544	2	2	0	07032017	3	7	2017	0	41.29175278	-75.83176667	3	20	0	0	0	4	14	0	0	2	407	2014	0	0	1	0	0	0	0	96	
20488	42	544	2	3	0	07032017	3	7	2017	0	41.29175278	-75.83176667	1	20	0	0	0	4	14	0	0	2	407	2014	0	0	1	0	0	0	0	96	
20489	42	545	2	1	0	07112017	11	7	2017	0	40.69916667	-79.95476944	52	8	0	0	0	3	14	0	0	12	401	2014	0	0	1	16	0	0	0	96	
20490	42	546	3	1	0	01302017	30	1	2017	0	41.18690556	-79.17143611	52	20	0	0	0	3	34	0	1	23	481	2014	0	0	1	0	0	0	0	96	
20491	42	546	6	1	0	01302017	30	1	2017	0	41.18690556	-79.17143611	39	1	0	0	0	3	14	0	0	12	402	2011	0	0	1	0	0	0	0	96	
20492	42	546	6	2	0	01302017	30	1	2017	0	41.18690556	-79.17143611	39	1	0	0	0	3	14	0	0	12	402	2011	0	0	1	0	0	0	0	96	
20493	42	546	8	1	0	01302017	30	1	2017	0	41.18690556	-79.17143611	50	8	0	0	0	3	4	0	0	49	40	2012	0	0	1	0	0	0	0	96	
20494	42	547	2	1	0	07022017	2	7	2017	0	40.66945000	-75.18476667	78	8	0	0	0	3	14	0	0	2	405	2009	0	0	1	0	0	0	0	96	
