Obs.	statenum	casenum	vnumber	pnumber	city	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
20363	42	383	1	1	0	05202017	20	5	2017	0	41.90696667	-76.80031389	21	8	0	0	0	3	34	0	1	7	482	2009	0	0	1	0	0	0	0	96	
20364	42	384	1	1	0	05172017	17	5	2017	0	40.24438056	-80.20182500	26	20	0	0	0	20	4	0	1	55	35	2010	0	0	1	6	0	0	0	96	
20365	42	386	2	1	0	04292017	29	4	2017	0	40.36655556	-75.95697222	86	8	0	0	0	3	4	0	1	63	32	2014	0	0	1	0	0	0	0	96	
20366	42	386	4	1	0	04292017	29	4	2017	0	40.36655556	-75.95697222	56	8	0	0	0	3	6	0	0	30	40	2012	0	0	1	0	0	0	0	96	
20367	42	387	1	1	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	34	8	0	0	0	3	6	0	0	7	27	2016	0	0	1	0	0	0	0	96	
20368	42	387	1	2	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	27	8	0	0	0	3	6	0	0	7	27	2016	0	0	1	0	0	0	0	96	
20369	42	387	1	3	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	60	20	0	0	0	20	6	0	0	7	27	2016	0	0	1	0	0	0	0	96	
20370	42	387	1	4	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	2	20	0	0	0	4	6	0	0	7	27	2016	0	0	1	0	0	0	0	96	
20371	42	387	1	5	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	1	20	0	0	0	4	6	0	0	7	27	2016	0	0	1	0	0	0	0	96	
20372	42	387	4	1	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	39	20	0	0	0	3	14	0	0	49	402	2009	0	0	1	0	0	0	0	96	
20373	42	387	4	2	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	33	20	0	0	0	3	14	0	0	49	402	2009	0	0	1	0	0	0	0	96	
20374	42	387	4	3	6540	07022017	2	7	2017	0	40.01256667	-75.05921667	3	20	0	0	0	4	14	0	0	49	402	2009	0	0	1	0	0	0	0	96	
20375	42	392	1	1	0	05262017	26	5	2017	0	40.37021389	-76.63472778	44	8	0	0	0	3	14	0	1	12	402	2010	0	0	1	0	0	0	0	96	
20376	42	395	1	1	5700	05242017	24	5	2017	0	40.74250833	-75.30957500	57	20	0	0	0	3	34	0	0	20	481	2015	0	0	1	48	0	0	0	96	
20377	42	397	1	1	0	05302017	30	5	2017	0	39.74585833	-79.41880000	48	1	0	0	0	3	4	0	0	13	13	2012	0	0	1	28	0	0	0	96	
20378	42	397	2	1	0	05302017	30	5	2017	0	39.74585833	-79.41880000	42	1	0	0	0	3	14	0	1	12	402	2014	0	0	1	0	0	0	0	96	
20379	42	397	2	2	0	05302017	30	5	2017	0	39.74585833	-79.41880000	22	1	0	0	0	99	14	0	1	12	402	2014	0	0	1	0	0	0	0	96	
20380	42	400	1	1	0	06282017	28	6	2017	0	40.29571389	-78.38206667	92	2	0	0	0	3	2	0	1	37	32	2009	0	0	1	38	0	0	0	96	
20381	42	400	2	1	0	06282017	28	6	2017	0	40.29571389	-78.38206667	52	8	0	0	0	3	14	0	0	20	404	2015	0	0	1	0	0	0	0	96	
20382	42	401	1	1	0	06192017	19	6	2017	0	41.07520278	-80.07069444	57	1	0	0	0	20	4	0	1	49	32	2014	0	0	1	28	0	0	0	96	
20383	42	401	1	2	0	06192017	19	6	2017	0	41.07520278	-80.07069444	4	8	0	0	0	4	4	0	1	49	32	2014	0	0	1	28	0	0	0	96	
20384	42	403	1	1	0	06012017	1	6	2017	0	39.90168611	-75.92880278	29	8	0	0	0	20	4	0	1	63	38	2014	0	0	1	39	6	0	0	96	
20385	42	404	2	1	0	06222017	22	6	2017	0	40.44671389	-76.51708611	19	8	0	0	0	3	14	0	2	55	402	2011	0	0	1	99	99	99	99	96	
20386	42	404	2	2	0	06222017	22	6	2017	0	40.44671389	-76.51708611	60	8	0	0	0	20	14	0	2	55	402	2011	0	0	1	99	99	99	99	96	
20387	42	405	2	1	0	06162017	16	6	2017	0	40.35106944	-75.00776944	66	20	0	0	0	3	4	0	1	49	40	2013	0	0	1	0	0	0	0	96	
20388	42	405	2	2	0	06162017	16	6	2017	0	40.35106944	-75.00776944	71	20	0	0	0	3	4	0	1	49	40	2013	0	0	1	0	0	0	0	96	
20389	42	406	1	1	0	06202017	20	6	2017	0	40.22000833	-75.15276667	28	8	0	0	0	20	14	0	0	37	402	2013	0	0	1	28	36	0	0	96	
20390	42	406	2	1	0	06202017	20	6	2017	0	40.22000833	-75.15276667	23	8	0	0	0	3	4	0	1	37	32	2016	0	0	1	0	0	0	0	96	
20391	42	409	2	1	0	04272017	27	4	2017	0	41.04078611	-75.31283333	47	1	0	0	0	3	34	0	0	20	473	2008	0	0	1	0	0	0	0	00	
20392	42	414	1	1	0	05192017	19	5	2017	0	40.31325833	-78.88085278	60	20	0	0	0	3	14	0	1	20	404	2008	0	0	1	87	0	0	0	96	
20393	42	416	2	1	0	05232017	23	5	2017	0	40.66313889	-75.38351944	53	20	0	0	0	3	4	0	0	6	18	2015	0	0	1	0	0	0	0	00	
20394	42	417	1	1	6540	06112017	11	6	2017	0	39.96728889	-75.13260833	21	1	0	0	0	20	4	0	1	59	31	2008	0	0	1	0	0	0	0	96	
20395	42	424	3	1	0	06042017	4	6	2017	0	39.87521667	-75.28800556	43	20	0	0	0	3	14	0	0	32	401	2012	0	0	1	0	0	0	0	96	
20396	42	424	3	2	0	06042017	4	6	2017	0	39.87521667	-75.28800556	8	20	0	0	0	3	14	0	0	32	401	2012	0	0	1	0	0	0	0	96	
20397	42	425	1	1	2640	07072017	7	7	2017	0	42.11867222	-80.09456667	65	99	0	0	0	99	14	0	3	55	401	2009	0	0	1	39	0	0	0	96	
20398	42	425	1	2	2640	07072017	7	7	2017	0	42.11867222	-80.09456667	65	99	0	0	0	99	14	0	3	55	401	2009	0	0	1	39	0	0	0	96	
20399	42	425	1	3	2640	07072017	7	7	2017	0	42.11867222	-80.09456667	72	99	0	0	0	99	14	0	3	55	401	2009	0	0	1	39	0	0	0	96	
20400	42	425	3	1	2640	07072017	7	7	2017	0	42.11867222	-80.09456667	19	7	0	0	0	3	3	0	0	67	32	2013	0	0	1	0	0	0	0	96	
20401	42	428	1	1	0	07112017	11	7	2017	0	39.74489722	-76.66138333	52	20	0	0	0	3	4	0	1	49	40	2011	0	0	1	27	0	0	0	96	
20402	42	430	1	1	0	07142017	14	7	2017	0	41.76019167	-75.75144722	25	20	0	0	0	20	4	0	1	6	18	2013	0	0	1	28	0	0	0	96	
20403	42	433	1	1	4400	07022017	2	7	2017	0	40.24964444	-76.89147500	40	8	0	0	0	1	4	0	1	41	50	2016	0	0	1	36	0	0	0	96	
20404	42	433	1	2	4400	07022017	2	7	2017	0	40.24964444	-76.89147500	53	8	0	0	0	1	4	0	1	41	50	2016	0	0	1	36	0	0	0	96	
20405	42	434	1	1	0	01072017	7	1	2017	0	40.89778333	-78.38197222	62	1	0	0	0	20	14	0	1	49	401	2013	0	0	1	39	6	0	0	96	
20406	42	434	1	2	0	01072017	7	1	2017	0	40.89778333	-78.38197222	61	1	0	0	0	20	14	0	1	49	401	2013	0	0	1	39	6	0	0	96	
20407	42	434	2	1	0	01072017	7	1	2017	0	40.89778333	-78.38197222	35	1	0	0	0	3	4	0	1	12	37	2015	0	0	1	0	0	0	0	96	
20408	42	434	2	2	0	01072017	7	1	2017	0	40.89778333	-78.38197222	36	1	0	0	0	3	4	0	1	12	37	2015	0	0	1	0	0	0	0	96	
20409	42	434	2	3	0	01072017	7	1	2017	0	40.89778333	-78.38197222	9	8	0	0	0	3	4	0	1	12	37	2015	0	0	1	0	0	0	0	96	
20410	42	434	2	4	0	01072017	7	1	2017	0	40.89778333	-78.38197222	6	8	0	0	0	3	4	0	1	12	37	2015	0	0	1	0	0	0	0	96	
20411	42	439	3	1	0	07062017	6	7	2017	0	40.54873889	-76.00116944	58	20	0	0	0	1	34	0	0	7	472	2008	0	0	1	0	0	0	0	96	
20412	42	439	3	2	0	07062017	6	7	2017	0	40.54873889	-76.00116944	36	20	0	0	0	1	34	0	0	7	472	2008	0	0	1	0	0	0	0	96	
20413	42	440	2	1	2270	06022017	2	6	2017	0	40.68464167	-75.22045556	62	8	0	0	0	3	6	0	0	52	47	2016	0	0	1	0	0	0	0	96	
20414	42	440	2	2	2270	06022017	2	6	2017	0	40.68464167	-75.22045556	61	8	0	0	0	3	6	0	0	52	47	2016	0	0	1	0	0	0	0	96	
20415	42	440	3	1	2270	06022017	2	6	2017	0	40.68464167	-75.22045556	64	1	0	0	0	3	14	0	1	49	402	2011	0	0	1	0	0	0	0	96	
20416	42	441	1	1	0	04232017	23	4	2017	0	40.99511111	-76.64708333	25	8	0	0	0	3	4	0	1	30	46	2010	0	0	1	6	36	27	37	96	
20417	42	441	1	2	0	04232017	23	4	2017	0	40.99511111	-76.64708333	25	8	0	0	0	3	4	0	1	30	46	2010	0	0	1	6	36	27	37	96	
20418	42	441	1	3	0	04232017	23	4	2017	0	40.99511111	-76.64708333	24	20	0	0	0	20	4	0	1	30	46	2010	0	0	1	6	36	27	37	96	
20419	42	441	1	4	0	04232017	23	4	2017	0	40.99511111	-76.64708333	30	20	0	0	0	3	4	0	1	30	46	2010	0	0	1	6	36	27	37	96	
20420	42	443	2	1	0	04202017	20	4	2017	0	40.99469167	-76.64050278	46	8	0	0	0	3	4	0	0	20	25	2011	0	0	1	0	0	0	0	96	
20421	42	444	1	1	0	05212017	21	5	2017	0	40.83601111	-77.80108056	34	1	0	0	0	3	20	0	0	6	441	2016	0	0	1	39	0	0	0	96	
20422	42	444	1	2	0	05212017	21	5	2017	0	40.83601111	-77.80108056	15	1	0	0	0	3	20	0	0	6	441	2016	0	0	1	39	0	0	0	96	
20423	42	444	1	3	0	05212017	21	5	2017	0	40.83601111	-77.80108056	15	2	0	0	0	3	20	0	0	6	441	2016	0	0	1	39	0	0	0	96	
20424	42	444	2	1	0	05212017	21	5	2017	0	40.83601111	-77.80108056	80	1	0	0	0	3	14	0	1	55	401	2008	0	0	1	0	0	0	0	96	
20425	42	444	2	2	0	05212017	21	5	2017	0	40.83601111	-77.80108056	62	1	0	0	0	3	14	0	1	55	401	2008	0	0	1	0	0	0	0	96	
20426	42	447	1	1	0	06112017	11	6	2017	0	41.84405833	-79.34622778	33	20	0	0	0	3	34	0	0	7	482	2016	0	0	1	48	0	0	0	96	
20427	42	447	1	2	0	06112017	11	6	2017	0	41.84405833	-79.34622778	10	2	0	0	0	3	34	0	0	7	482	2016	0	0	1	48	0	0	0	96	
20428	42	447	1	3	0	06112017	11	6	2017	0	41.84405833	-79.34622778	5	20	0	0	0	4	34	0	0	7	482	2016	0	0	1	48	0	0	0	96	
20429	42	451	1	1	0	06232017	23	6	2017	0	40.71495833	-75.78611389	66	1	0	0	0	3	14	0	0	7	403	2010	0	0	1	28	0	0	0	96	
20430	42	452	1	1	0	06142017	14	6	2017	0	40.73123333	-75.54501667	69	1	0	0	0	3	14	0	0	20	404	2012	0	0	1	28	0	0	0	00	
20431	42	452	2	1	0	06142017	14	6	2017	0	40.73123333	-75.54501667	22	1	0	0	0	3	4	0	1	63	34	2015	0	0	1	0	0	0	0	96	
20432	42	459	1	1	0	06122017	12	6	2017	0	41.18239444	-75.43428056	63	8	0	0	0	3	15	0	1	37	421	2011	0	0	1	0	0	0	0	96	
20433	42	459	1	2	0	06122017	12	6	2017	0	41.18239444	-75.43428056	88	8	0	0	0	3	15	0	1	37	421	2011	0	0	1	0	0	0	0	96	
20434	42	459	1	3	0	06122017	12	6	2017	0	41.18239444	-75.43428056	62	8	0	0	0	20	15	0	1	37	421	2011	0	0	1	0	0	0	0	96	
20435	42	462	2	1	0	06062017	6	6	2017	0	40.20813889	-76.70058333	57	8	0	0	0	3	4	0	1	59	31	2011	0	0	1	99	99	99	99	96	
20436	42	469	1	1	8260	06232017	23	6	2017	0	40.83361111	-75.83133611	69	20	0	0	0	1	5	0	1	49	51	2017	0	0	1	99	99	99	99	96	
20437	42	470	2	1	0	06052017	5	6	2017	0	40.12158333	-76.05988889	26	2	0	0	0	3	4	0	0	41	51	2015	0	0	1	0	0	0	0	96	
20438	42	471	2	1	0	07212017	21	7	2017	0	40.27121389	-79.55604444	65	20	0	0	0	3	21	0	0	12	462	2015	0	0	1	0	0	0	0	96	
20439	42	471	2	2	0	07212017	21	7	2017	0	40.27121389	-79.55604444	51	20	0	0	0	3	21	0	0	12	462	2015	0	0	1	0	0	0	0	96	
20440	42	478	1	1	0	06252017	25	6	2017	0	40.49181111	-80.12573056	25	20	0	0	0	99	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20441	42	478	1	2	0	06252017	25	6	2017	0	40.49181111	-80.12573056	27	20	0	0	0	20	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20442	42	478	1	3	0	06252017	25	6	2017	0	40.49181111	-80.12573056	27	20	0	0	0	99	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20443	42	478	1	4	0	06252017	25	6	2017	0	40.49181111	-80.12573056	27	20	0	0	0	99	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20444	42	478	1	5	0	06252017	25	6	2017	0	40.49181111	-80.12573056	27	20	0	0	0	20	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20445	42	478	1	6	0	06252017	25	6	2017	0	40.49181111	-80.12573056	22	20	0	0	0	3	34	0	1	7	482	2010	0	0	1	6	27	0	0	96	
20446	42	481	2	1	0	07232017	23	7	2017	0	40.30790000	-78.85440278	31	8	0	0	0	20	3	0	1	55	42	2013	0	0	1	0	0	0	0	96	
20447	42	485	2	1	0	06272017	27	6	2017	0	40.88084444	-76.55061111	38	8	0	0	0	3	15	0	0	20	421	2015	0	0	1	0	0	0	0	96	
20448	42	487	1	1	0	07242017	24	7	2017	0	40.22399722	-80.21287222	69	1	0	0	0	20	14	0	1	49	402	2013	0	0	1	0	0	0	0	96	
20449	42	490	1	1	410	07152017	15	7	2017	0	40.40088611	-75.58766389	53	1	0	0	0	20	14	0	0	12	401	2013	0	0	1	28	6	0	0	96	
20450	42	492	1	1	0	07162017	16	7	2017	0	40.32880556	-75.26025000	40	2	0	0	0	20	14	0	1	18	404	2016	0	0	1	99	99	99	99	96	
20451	42	496	1	1	5480	07122017	12	7	2017	0	41.37276944	-75.70216389	56	20	0	0	0	3	14	0	0	55	402	2014	0	0	1	0	0	0	0	96	
20452	42	496	1	2	5480	07122017	12	7	2017	0	41.37276944	-75.70216389	55	20	0	0	0	3	14	0	0	55	402	2014	0	0	1	0	0	0	0	96	
20453	42	496	1	3	5480	07122017	12	7	2017	0	41.37276944	-75.70216389	38	20	0	0	0	3	14	0	0	55	402	2014	0	0	1	0	0	0	0	96	
20454	42	496	1	4	5480	07122017	12	7	2017	0	41.37276944	-75.70216389	999	20	0	0	0	3	14	0	0	55	402	2014	0	0	1	0	0	0	0	96	
20455	42	496	1	5	5480	07122017	12	7	2017	0	41.37276944	-75.70216389	29	20	0	0	0	3	14	0	0	55	402	2014	0	0	1	0	0	0	0	96	
20456	42	498	1	1	0	07252017	25	7	2017	0	39.85369722	-79.66302500	24	8	0	0	0	20	4	0	1	37	32	2008	0	0	1	0	0	0	0	96	
20457	42	501	3	1	0	06092017	9	6	2017	0	40.45588889	-79.58733611	32	8	0	0	0	3	15	0	1	2	422	2014	0	0	1	0	0	0	0	96	
20458	42	501	3	2	0	06092017	9	6	2017	0	40.45588889	-79.58733611	29	8	0	0	0	3	15	0	1	2	422	2014	0	0	1	0	0	0	0	96	
20459	42	501	3	3	0	06092017	9	6	2017	0	40.45588889	-79.58733611	7	8	0	0	0	4	15	0	1	2	422	2014	0	0	1	0	0	0	0	96	
20460	42	501	3	4	0	06092017	9	6	2017	0	40.45588889	-79.58733611	4	8	0	0	0	4	15	0	1	2	422	2014	0	0	1	0	0	0	0	96	
20461	42	502	1	1	6540	07222017	22	7	2017	0	39.98856111	-75.20704444	29	99	0	0	0	99	4	0	0	63	34	2016	0	0	1	36	0	0	0	96	
20462	42	503	1	1	0	06042017	4	6	2017	0	40.45433333	-76.30191667	91	1	0	0	0	3	4	0	1	18	25	2012	0	0	1	39	0	0	0	96	
20463	42	504	1	1	0	07272017	27	7	2017	0	40.03984722	-77.64985556	52	1	0	0	0	99	4	0	1	12	37	2008	0	0	1	35	0	0	0	96	
20464	42	504	2	1	0	07272017	27	7	2017	0	40.03984722	-77.64985556	56	1	0	0	0	3	4	0	0	13	13	2011	0	0	1	0	0	0	0	96	
20465	42	506	1	1	0	07142017	14	7	2017	0	40.26077222	-79.19844167	26	8	0	0	0	3	14	0	1	12	401	2016	0	0	1	16	0	0	0	96	
20466	42	506	1	2	0	07142017	14	7	2017	0	40.26077222	-79.19844167	26	8	87	0	0	3	14	0	1	12	401	2016	0	0	1	16	0	0	0	96	
20467	42	509	1	1	0	06032017	3	6	2017	0	39.96804722	-75.33778889	18	20	0	0	0	99	14	0	0	49	402	2012	0	0	1	6	0	0	0	00	
20468	42	510	2	1	6540	06142017	14	6	2017	0	40.06132500	-75.15114167	59	1	0	0	0	99	6	0	0	35	51	2014	0	0	1	0	0	0	0	96	
20469	42	513	1	1	7460	07082017	8	7	2017	0	41.41248611	-75.68022500	31	20	0	0	0	3	4	0	0	55	33	2015	0	0	1	38	0	0	0	96	
20470	42	513	1	2	7460	07082017	8	7	2017	0	41.41248611	-75.68022500	9	20	0	0	0	3	4	0	0	55	33	2015	0	0	1	38	0	0	0	96	
20471	42	517	2	1	0	02192017	19	2	2017	0	40.25369722	-76.29620833	63	1	0	0	0	3	14	0	0	35	402	2014	0	0	1	0	0	0	0	96	
20472	42	517	2	2	0	02192017	19	2	2017	0	40.25369722	-76.29620833	51	1	0	0	0	3	14	0	0	35	402	2014	0	0	1	0	0	0	0	96	
20473	42	521	2	1	0	06252017	25	6	2017	0	40.47807222	-77.77633333	78	8	0	0	0	3	5	0	0	12	37	2014	0	0	1	0	0	0	0	00	
20474	42	521	2	2	0	06252017	25	6	2017	0	40.47807222	-77.77633333	85	1	0	0	0	3	5	0	0	12	37	2014	0	0	1	0	0	0	0	00	
20475	42	524	1	1	0	07022017	2	7	2017	0	40.82820556	-78.34012500	31	8	0	0	0	3	14	0	0	2	403	2012	0	0	1	28	6	0	0	96	
20476	42	524	1	2	0	07022017	2	7	2017	0	40.82820556	-78.34012500	8	20	0	0	0	3	14	0	0	2	403	2012	0	0	1	28	6	0	0	96	
20477	42	529	1	1	0	07012017	1	7	2017	0	40.94491389	-80.39166111	25	1	0	0	0	99	4	0	1	37	31	2012	0	0	1	0	0	0	0	00	
20478	42	531	2	1	7460	04032017	3	4	2017	0	41.41600278	-75.66895833	76	2	0	0	0	20	4	0	1	49	40	2017	0	0	1	38	0	0	0	96	
20479	42	533	1	1	6540	04082017	8	4	2017	0	40.00576389	-75.19099722	18	1	0	0	0	99	2	0	1	12	3	2014	0	0	1	27	0	0	0	96	
20480	42	533	1	2	6540	04082017	8	4	2017	0	40.00576389	-75.19099722	20	2	0	0	0	20	2	0	1	12	3	2014	0	0	1	27	0	0	0	96	
20481	42	533	1	3	6540	04082017	8	4	2017	0	40.00576389	-75.19099722	24	1	0	0	0	3	2	0	1	12	3	2014	0	0	1	27	0	0	0	96	
20482	42	536	1	1	6540	04032017	3	4	2017	0	39.99746667	-75.08909444	48	99	0	0	0	99	15	0	0	2	422	2015	0	0	1	99	99	99	99	96	
20483	42	538	1	1	0	06242017	24	6	2017	0	40.09068889	-74.87403056	49	20	0	0	0	3	14	0	0	32	405	2017	0	0	1	0	0	0	0	96	
20484	42	538	1	2	0	06242017	24	6	2017	0	40.09068889	-74.87403056	55	20	0	0	0	3	14	0	0	32	405	2017	0	0	1	0	0	0	0	96	
