statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,34,2,1,0,83,1/22/16,22,1,2016,0,34.97634444,-86.80498611,25,1,0,0,0,3,15,0,0,23,421,2008,0,0,1,0,0,0,0,0
1,34,2,2,0,83,1/22/16,22,1,2016,0,34.97634444,-86.80498611,25,1,0,0,0,3,15,0,0,23,421,2008,0,0,1,0,0,0,0,0
1,34,2,3,0,83,1/22/16,22,1,2016,0,34.97634444,-86.80498611,0,0,0,0,0,11,15,0,0,23,421,2008,0,0,1,0,0,0,0,0
1,35,1,1,2355,3,1/22/16,22,1,2016,0,30.26755833,-87.59540278,85,1,0,0,0,3,15,0,0,18,421,2015,0,0,1,38,0,0,0,0
1,35,1,2,2355,3,1/22/16,22,1,2016,0,30.26755833,-87.59540278,90,1,0,0,0,3,15,0,0,18,421,2015,0,0,1,38,0,0,0,0
1,38,1,1,0,21,1/26/16,26,1,2016,0,32.70844167,-86.82197778,29,1,0,0,0,3,4,0,1,7,24,2010,0,0,1,8,28,0,0,0
1,41,2,1,3050,125,1/28/16,28,1,2016,0,33.22455,-87.532475,37,20,0,0,0,3,15,0,0,42,421,2014,0,0,1,0,0,0,0,0
1,41,2,2,3050,125,1/28/16,28,1,2016,0,33.22455,-87.532475,5,20,0,0,0,3,15,0,0,42,421,2014,0,0,1,0,0,0,0,0
1,41,2,3,3050,125,1/28/16,28,1,2016,0,33.22455,-87.532475,13,0,0,0,0,3,15,0,0,42,421,2014,0,0,1,0,0,0,0,0
1,41,2,4,3050,125,1/28/16,28,1,2016,0,33.22455,-87.532475,7,20,0,0,0,3,15,0,0,42,421,2014,0,0,1,0,0,0,0,0
1,41,2,5,3050,125,1/28/16,28,1,2016,0,33.22455,-87.532475,11,0,0,0,0,3,15,0,0,42,421,2014,0,0,1,0,0,0,0,0
1,46,1,1,2130,101,2/7/16,7,2,2016,0,32.36825,-86.121275,22,1,0,0,0,3,5,0,1,35,50,2014,0,0,1,0,0,0,0,0
1,46,1,2,2130,101,2/7/16,7,2,2016,0,32.36825,-86.121275,2,0,0,0,0,10,5,0,1,35,50,2014,0,0,1,0,0,0,0,0
1,48,2,1,1970,89,2/12/16,12,2,2016,0,34.67140833,-86.75699722,31,8,0,0,0,3,6,0,1,52,47,2012,0,0,1,0,0,0,0,0
1,48,3,1,1970,89,2/12/16,12,2,2016,0,34.67140833,-86.75699722,22,1,0,0,0,3,14,0,0,2,403,2014,0,0,1,0,0,0,0,0
1,48,3,2,1970,89,2/12/16,12,2,2016,0,34.67140833,-86.75699722,26,1,0,0,0,3,14,0,0,2,403,2014,0,0,1,0,0,0,0,0
1,50,1,1,0,15,2/12/16,12,2,2016,0,33.61401389,-85.74714722,31,99,0,0,0,99,31,0,1,12,481,2015,0,0,1,89,0,0,0,99
1,52,1,1,460,7,1/30/16,30,1,2016,0,32.942375,-87.17577222,39,20,0,0,0,3,1,0,0,6,43,2008,0,0,1,0,0,0,0,0
1,52,1,2,460,7,1/30/16,30,1,2016,0,32.942375,-87.17577222,36,1,0,0,0,3,1,0,0,6,43,2008,0,0,1,0,0,0,0,0
1,52,1,3,460,7,1/30/16,30,1,2016,0,32.942375,-87.17577222,20,0,0,0,0,99,1,0,0,6,43,2008,0,0,1,0,0,0,0,0
1,54,2,1,0,43,2/1/16,1,2,2016,0,34.21828611,-86.89541944,18,20,0,0,0,3,14,0,0,30,402,2010,0,0,1,0,0,0,0,0
