"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","cellphoneuse"
"1781",810,12,3,2,75,79,1,19,4,2016,"04/2016",2015,6,0
"1782",812,12,1,1,21,21,1,2,4,2016,"04/2016",2015,37,0
"1783",812,12,2,1,20,20,0,2,4,2016,"04/2016",2013,12,0
"1784",815,12,2,2,59,66,1,8,4,2016,"04/2016",2010,12,0
"1785",815,12,3,3,6,45,0,8,4,2016,"04/2016",2015,55,0
"1786",815,12,4,1,50,50,0,8,4,2016,"04/2016",2015,35,0
"1787",815,12,5,1,24,24,0,8,4,2016,"04/2016",2010,35,0
"1788",815,12,6,1,51,51,0,8,4,2016,"04/2016",2014,12,0
"1789",815,12,8,1,40,40,0,8,4,2016,"04/2016",2015,55,0
"1790",815,12,9,3,2,39,0,8,4,2016,"04/2016",2014,42,0
"1791",815,12,11,1,34,34,0,8,4,2016,"04/2016",2016,63,0
"1792",818,12,1,2,28,49,1,23,4,2016,"04/2016",2008,49,0
"1793",820,12,1,2,21,21,2,31,1,2016,"01/2016",2015,49,0
"1794",834,12,1,3,45,89,1,27,4,2016,"04/2016",2016,2,0
"1795",842,12,2,2,36,40,1,1,5,2016,"05/2016",2014,6,0
"1796",844,12,1,2,70,71,1,28,4,2016,"04/2016",2016,6,0
"1797",847,12,1,1,25,25,0,21,4,2016,"04/2016",2011,55,0
"1798",847,12,2,1,48,48,1,21,4,2016,"04/2016",2013,49,0
"1799",854,12,1,1,26,26,0,28,4,2016,"04/2016",2012,7,0
"1800",854,12,2,2,62,64,1,28,4,2016,"04/2016",2014,37,0
"1801",856,12,1,1,55,55,0,7,5,2016,"05/2016",2008,51,0
"1802",856,12,3,3,1,28,0,7,5,2016,"05/2016",2008,51,0
"1803",871,12,1,3,26,34,0,30,4,2016,"04/2016",2015,34,0
"1804",881,12,1,2,72,73,0,5,5,2016,"05/2016",2013,12,0
"1805",897,12,1,2,62,62,2,1,5,2016,"05/2016",2013,30,0
"1806",897,12,2,1,28,28,0,1,5,2016,"05/2016",2016,20,0
"1807",899,12,1,1,73,73,1,9,5,2016,"05/2016",2016,35,0
"1808",899,12,2,1,30,30,0,9,5,2016,"05/2016",2015,20,0
"1809",902,12,1,1,24,24,0,1,4,2016,"04/2016",2012,12,0
"1810",902,12,3,1,26,26,0,1,4,2016,"04/2016",2015,49,0
"1811",909,12,1,2,20,32,1,22,4,2016,"04/2016",2009,49,0
"1812",911,12,2,2,26,28,0,30,4,2016,"04/2016",2010,37,0
"1813",912,12,1,1,44,44,1,6,5,2016,"05/2016",2016,12,0
"1814",912,12,2,1,64,64,0,6,5,2016,"05/2016",2014,18,0
"1815",924,12,3,2,32,62,1,29,4,2016,"04/2016",2016,37,0
"1816",924,12,4,1,54,54,0,29,4,2016,"04/2016",2016,63,0
"1817",924,12,5,3,5,41,0,29,4,2016,"04/2016",2015,6,0
"1818",934,12,1,4,26,29,3,15,5,2016,"05/2016",2013,67,0
"1819",940,12,1,2,23,57,0,5,5,2016,"05/2016",2008,35,0
"1820",942,12,2,2,21,29,0,6,5,2016,"05/2016",2015,63,0
"1821",949,12,1,2,38,91,1,2,3,2016,"03/2016",2014,49,0
"1822",951,12,1,1,87,87,1,15,2,2016,"02/2016",2013,35,0
"1823",951,12,2,3,18,23,0,15,2,2016,"02/2016",2010,20,0
"1824",952,12,1,1,26,26,1,25,3,2016,"03/2016",2010,35,0
"1825",952,12,2,1,49,49,0,25,3,2016,"03/2016",2011,20,0
"1826",956,12,1,2,24,52,1,25,4,2016,"04/2016",2011,63,0
"1827",956,12,3,1,44,44,0,25,4,2016,"04/2016",2015,35,0
"1828",964,12,1,1,34,34,1,16,5,2016,"05/2016",2008,37,0
"1829",964,12,2,1,33,33,0,16,5,2016,"05/2016",2011,20,0
"1830",964,12,3,1,57,57,0,16,5,2016,"05/2016",2008,30,0
"1831",966,12,1,1,66,66,0,30,4,2016,"04/2016",2010,12,0
"1832",966,12,3,3,8,25,0,30,4,2016,"04/2016",2012,35,0
"1833",967,12,1,3,8,42,0,29,4,2016,"04/2016",2015,20,0
"1834",968,12,1,1,27,27,1,12,5,2016,"05/2016",2009,63,0
"1835",968,12,2,1,46,46,1,12,5,2016,"05/2016",2009,19,0
"1836",971,12,2,5,31,61,0,14,5,2016,"05/2016",2012,7,0
"1837",974,12,2,2,26,30,0,25,4,2016,"04/2016",2009,37,0
"1838",976,12,1,1,24,24,0,7,5,2016,"05/2016",2015,49,0
"1839",976,12,2,4,15,47,1,7,5,2016,"05/2016",2016,49,0
"1840",976,12,3,4,0,32,0,7,5,2016,"05/2016",2016,35,0
"1841",976,12,4,1,45,45,0,7,5,2016,"05/2016",2011,30,0
"1842",981,12,2,2,76,76,1,27,4,2016,"04/2016",2013,18,0
"1843",988,12,1,3,19,21,1,23,3,2016,"03/2016",2008,20,0
"1844",991,12,2,4,15,18,0,15,1,2016,"01/2016",2008,12,0
"1845",997,12,2,2,51,52,0,15,5,2016,"05/2016",2013,20,0
"1846",1008,12,1,1,61,61,1,12,5,2016,"05/2016",2011,55,0
"1847",1008,12,2,1,45,45,0,12,5,2016,"05/2016",2016,12,0
"1848",1018,12,1,2,80,85,1,12,5,2016,"05/2016",2014,12,0
"1849",1018,12,2,1,54,54,0,12,5,2016,"05/2016",2015,12,0
"1850",1019,12,1,2,36,55,1,26,5,2016,"05/2016",2013,49,0
"1851",1032,12,1,3,22,26,1,24,5,2016,"05/2016",2012,34,0
"1852",1033,12,1,3,8,65,1,9,5,2016,"05/2016",2012,41,0
"1853",1033,12,2,2,37,46,0,9,5,2016,"05/2016",2008,59,0
"1854",1033,12,4,3,11,42,0,9,5,2016,"05/2016",2015,49,0
"1855",1039,12,1,2,9,30,0,19,5,2016,"05/2016",2010,20,0
"1856",1044,12,1,2,47,47,1,24,5,2016,"05/2016",2011,49,0
"1857",1044,12,2,1,40,40,0,24,5,2016,"05/2016",2015,35,0
"1858",1047,12,1,2,40,49,1,24,4,2016,"04/2016",2011,49,0
"1859",1060,12,2,4,21,38,0,16,5,2016,"05/2016",2008,12,0
"1860",1061,12,1,2,22,25,0,21,5,2016,"05/2016",2016,20,0
"1861",1066,12,2,1,50,50,1,22,3,2016,"03/2016",2016,54,0
"1862",1066,12,5,1,44,44,0,22,3,2016,"03/2016",2016,12,0
"1863",1072,12,1,3,21,38,0,29,5,2016,"05/2016",2010,19,0
"1864",1077,12,1,1,61,61,0,12,5,2016,"05/2016",2013,42,0
"1865",1077,12,2,1,28,28,1,12,5,2016,"05/2016",2010,49,0
"1866",1077,12,3,3,31,59,0,12,5,2016,"05/2016",2014,20,0
"1867",1094,12,2,3,0,55,0,1,5,2016,"05/2016",2013,20,0
"1868",1095,12,3,2,25,27,0,16,5,2016,"05/2016",2014,49,0
"1869",1095,12,5,1,74,74,0,16,5,2016,"05/2016",2008,20,0
"1870",1095,12,6,2,23,28,0,16,5,2016,"05/2016",2010,51,0
"1871",1104,12,4,2,3,35,0,30,5,2016,"05/2016",2016,49,0
"1872",1113,12,1,1,29,29,0,28,5,2016,"05/2016",2009,42,0
"1873",1113,12,2,1,43,43,1,28,5,2016,"05/2016",2016,49,0
"1874",1115,12,2,2,23,41,0,23,5,2016,"05/2016",2014,49,0
"1875",1127,12,1,1,23,23,0,2,6,2016,"06/2016",2014,12,0
"1876",1127,12,2,1,52,52,1,2,6,2016,"06/2016",2014,54,0
"1877",1127,12,3,1,51,51,0,2,6,2016,"06/2016",2014,23,0
"1878",1135,12,1,2,22,22,1,6,6,2016,"06/2016",2008,22,0
"1879",1138,12,1,2,36,43,2,28,5,2016,"05/2016",2012,18,0
"1880",1143,12,1,1,23,23,0,25,2,2016,"02/2016",2011,18,0
"1881",1143,12,2,2,73,99,1,25,2,2016,"02/2016",2011,49,0
"1882",1146,12,1,4,86,94,1,19,2,2016,"02/2016",2015,37,0
"1883",1146,12,2,1,79,79,0,19,2,2016,"02/2016",2010,20,0
"1884",1150,12,1,4,71,89,0,20,5,2016,"05/2016",2015,35,0
"1885",1151,12,3,1,63,63,1,16,5,2016,"05/2016",2016,12,0
"1886",1151,12,5,1,35,35,0,16,5,2016,"05/2016",2016,63,0
"1887",1155,12,1,2,52,53,1,4,6,2016,"06/2016",2016,49,0
"1888",1155,12,2,1,21,21,0,4,6,2016,"06/2016",2014,2,0
"1889",1156,12,2,2,39,41,2,2,3,2016,"03/2016",2015,41,0
"1890",1156,12,3,1,53,53,0,2,3,2016,"03/2016",2011,58,0
"1891",1158,12,1,1,91,91,1,16,3,2016,"03/2016",2013,55,0
"1892",1158,12,2,1,70,70,0,16,3,2016,"03/2016",2016,19,0
"1893",1162,12,1,2,22,30,0,24,5,2016,"05/2016",2011,49,0
"1894",1163,12,2,2,31,41,1,30,5,2016,"05/2016",2014,49,0
"1895",1164,12,1,1,22,22,0,1,6,2016,"06/2016",2008,35,0
"1896",1164,12,2,4,53,82,1,1,6,2016,"06/2016",2010,37,0
"1897",1164,12,3,1,26,26,0,1,6,2016,"06/2016",2009,55,0
"1898",1170,12,2,2,67,67,1,7,6,2016,"06/2016",2011,12,0
"1899",1174,12,1,1,34,34,0,18,3,2016,"03/2016",2011,20,0
"1900",1174,12,2,1,25,25,1,18,3,2016,"03/2016",2012,35,0
"1901",1180,12,1,1,28,28,0,3,6,2016,"06/2016",2016,34,0
"1902",1180,12,2,1,21,21,1,3,6,2016,"06/2016",2011,37,0
"1903",1181,12,1,1,88,88,1,10,6,2016,"06/2016",2012,30,0
"1904",1181,12,2,1,65,65,0,10,6,2016,"06/2016",2011,20,0
"1905",1185,12,2,2,20,40,0,3,6,2016,"06/2016",2016,12,0
"1906",1193,12,2,4,4,24,1,24,4,2016,"04/2016",2011,55,0
"1907",1209,12,2,2,22,58,0,21,5,2016,"05/2016",2013,41,0
"1908",1211,12,1,2,37,41,2,26,5,2016,"05/2016",2013,7,0
"1909",1218,12,1,2,22,28,1,6,6,2016,"06/2016",2015,34,0
"1910",1219,12,1,2,5,24,0,13,4,2016,"04/2016",2009,55,0
"1911",1219,12,2,1,88,88,1,13,4,2016,"04/2016",2010,49,0
"1912",1232,12,1,3,84,88,1,24,3,2016,"03/2016",2015,37,0
"1913",1233,12,1,2,38,47,0,20,5,2016,"05/2016",2010,30,0
"1914",1234,12,2,2,34,46,0,6,6,2016,"06/2016",2015,7,0
"1915",1245,12,2,2,65,69,0,18,6,2016,"06/2016",2012,63,0
"1916",1246,12,2,1,37,37,1,8,6,2016,"06/2016",2014,36,0
"1917",1246,12,4,1,59,59,0,8,6,2016,"06/2016",2014,37,0
"1918",1249,12,2,2,18,53,0,20,5,2016,"05/2016",2008,34,0
"1919",1251,12,2,2,33,46,0,9,6,2016,"06/2016",2011,12,0
"1920",1255,12,1,2,18,55,1,20,6,2016,"06/2016",2015,49,0
"1921",1259,12,1,2,0,34,0,15,6,2016,"06/2016",2008,2,0
"1922",1259,12,3,2,35,62,0,15,6,2016,"06/2016",2014,7,0
"1923",1265,12,2,1,69,69,0,28,5,2016,"05/2016",2014,34,0
"1924",1265,12,3,2,32,32,0,28,5,2016,"05/2016",2015,6,0
"1925",1272,12,2,2,85,87,0,14,6,2016,"06/2016",2012,52,0
"1926",1281,12,1,1,32,32,0,13,6,2016,"06/2016",2015,37,0
"1927",1281,12,2,1,43,43,1,13,6,2016,"06/2016",2009,35,0
"1928",1281,12,4,1,29,29,0,13,6,2016,"06/2016",2011,49,0
"1929",1310,12,1,2,21,26,0,8,6,2016,"06/2016",2012,41,0
"1930",1311,12,1,1,31,31,0,24,6,2016,"06/2016",2013,34,0
"1931",1311,12,2,4,8,52,1,24,6,2016,"06/2016",2016,42,0
"1932",1317,12,1,2,10,41,0,11,6,2016,"06/2016",2013,63,0
"1933",1317,12,2,1,36,36,1,11,6,2016,"06/2016",2009,49,0
"1934",1321,12,2,2,49,58,0,13,6,2016,"06/2016",2013,23,0
"1935",1328,12,1,2,18,21,0,5,6,2016,"06/2016",2016,37,0
"1936",1329,12,1,1,74,74,1,20,6,2016,"06/2016",2014,55,0
"1937",1329,12,2,1,72,72,0,20,6,2016,"06/2016",2008,12,0
"1938",1330,12,1,2,17,20,0,6,6,2016,"06/2016",2010,7,0
"1939",1333,12,1,3,31,42,0,21,6,2016,"06/2016",2013,20,0
"1940",1335,12,1,1,52,52,0,27,6,2016,"06/2016",2013,55,0
"1941",1335,12,2,1,52,52,1,27,6,2016,"06/2016",2009,7,0
"1942",1335,12,3,1,50,50,0,27,6,2016,"06/2016",2015,12,0
"1943",1335,12,4,3,22,54,0,27,6,2016,"06/2016",2008,49,0
"1944",1337,12,2,2,22,24,0,21,6,2016,"06/2016",2008,12,0
"1945",1337,12,4,3,10,36,1,21,6,2016,"06/2016",2010,35,0
"1946",1337,12,6,1,51,51,0,21,6,2016,"06/2016",2015,12,0
"1947",1337,12,7,1,55,55,0,21,6,2016,"06/2016",2011,12,0
"1948",1340,12,1,3,26,51,3,22,6,2016,"06/2016",2013,42,0
"1949",1342,12,1,2,66,66,0,23,6,2016,"06/2016",2012,12,0
"1950",1352,12,1,2,85,99,1,16,6,2016,"06/2016",2008,20,0
"1951",1352,12,2,1,32,32,0,16,6,2016,"06/2016",2016,49,0
"1952",1359,12,1,1,26,26,0,2,7,2016,"07/2016",2012,49,0
"1953",1359,12,2,2,79,90,1,2,7,2016,"07/2016",2013,55,0
"1954",1391,12,1,1,22,22,1,27,6,2016,"06/2016",2011,32,0
"1955",1391,12,3,5,1,57,0,27,6,2016,"06/2016",2008,49,0
"1956",1391,12,4,1,42,42,0,27,6,2016,"06/2016",2012,12,0
"1957",1399,12,3,3,58,64,0,2,7,2016,"07/2016",2013,12,0
"1958",1404,12,1,2,25,25,0,1,7,2016,"07/2016",2014,37,0
"1959",1404,12,2,3,52,76,3,1,7,2016,"07/2016",2012,23,0
"1960",1405,12,2,2,32,38,2,2,7,2016,"07/2016",2010,6,0
"1961",1407,12,2,1,48,48,0,1,7,2016,"07/2016",2016,20,0
"1962",1407,12,3,1,64,64,0,1,7,2016,"07/2016",2012,19,0
"1963",1412,12,1,1,25,25,0,29,6,2016,"06/2016",2008,14,0
"1964",1412,12,3,1,24,24,0,29,6,2016,"06/2016",2014,20,0
"1965",1414,12,1,2,19,20,1,25,6,2016,"06/2016",2014,37,0
"1966",1419,12,2,4,1,45,0,9,7,2016,"07/2016",2011,12,0
"1967",1422,12,1,3,20,22,0,3,7,2016,"07/2016",2015,37,0
"1968",1424,12,1,2,19,22,1,10,7,2016,"07/2016",2016,7,0
"1969",1435,12,1,2,28,34,1,21,6,2016,"06/2016",2009,37,0
"1970",1445,12,2,1,29,29,0,5,7,2016,"07/2016",2011,20,0
"1971",1445,12,3,1,47,47,0,5,7,2016,"07/2016",2012,23,0
"1972",1447,12,1,1,37,37,1,8,7,2016,"07/2016",2015,20,0
"1973",1447,12,3,1,29,29,0,8,7,2016,"07/2016",2013,30,0
"1974",1448,12,2,3,14,43,0,2,7,2016,"07/2016",2011,12,0
"1975",1455,12,1,3,15,52,0,11,7,2016,"07/2016",2016,23,0
"1976",1458,12,2,2,29,33,0,6,7,2016,"07/2016",2011,63,0
"1977",1477,12,1,2,68,69,1,30,6,2016,"06/2016",2015,12,0
"1978",1477,12,2,1,31,31,0,30,6,2016,"06/2016",2015,55,0
"1979",1480,12,1,1,54,54,0,6,7,2016,"07/2016",2015,49,0
"1980",1480,12,2,2,46,66,1,6,7,2016,"07/2016",2010,20,0
"1981",1483,12,1,2,62,72,0,12,4,2016,"04/2016",2016,2,0
"1982",1485,12,1,1,27,27,0,9,4,2016,"04/2016",2012,49,0
"1983",1485,12,2,1,73,73,1,9,4,2016,"04/2016",2008,12,0
"1984",1492,12,1,1,36,36,0,14,6,2016,"06/2016",2015,12,0
"1985",1492,12,2,1,78,78,1,14,6,2016,"06/2016",2016,13,0
"1986",1492,12,3,2,62,67,0,14,6,2016,"06/2016",2016,18,0
"1987",1492,12,4,2,47,73,0,14,6,2016,"06/2016",2016,42,0
"1988",1492,12,5,1,44,44,0,14,6,2016,"06/2016",2016,49,0
"1989",1493,12,2,2,25,50,1,3,7,2016,"07/2016",2011,41,0
"1990",1499,12,1,2,17,39,0,17,7,2016,"07/2016",2009,19,0
"1991",1505,12,1,5,10,58,0,12,7,2016,"07/2016",2013,30,0
"1992",1533,12,1,2,39,40,0,24,3,2016,"03/2016",2010,2,0
"1993",1541,12,1,4,4,67,4,15,7,2016,"07/2016",2016,35,0
"1994",1550,12,1,1,58,58,0,14,7,2016,"07/2016",2008,55,0
"1995",1550,12,2,2,21,36,1,14,7,2016,"07/2016",2008,49,0
"1996",1561,12,1,3,53,64,1,27,7,2016,"07/2016",2008,35,0
"1997",1561,12,2,3,61,73,0,27,7,2016,"07/2016",2013,41,0
"1998",1569,12,2,3,8,37,0,16,7,2016,"07/2016",2015,49,0
"1999",1572,12,1,3,11,31,1,18,7,2016,"07/2016",2016,49,0
"2000",1572,12,2,2,17,52,0,18,7,2016,"07/2016",2009,41,0
"2001",1580,12,1,2,4,36,0,27,7,2016,"07/2016",2013,35,0
"2002",1583,12,1,2,19,19,0,23,7,2016,"07/2016",2013,20,0
"2003",1589,12,1,3,11,47,0,1,8,2016,"08/2016",2010,12,0
"2004",1593,12,1,1,38,38,1,23,7,2016,"07/2016",2011,49,0
"2005",1593,12,2,2,17,20,0,23,7,2016,"07/2016",2013,58,0
"2006",1597,12,1,2,66,69,1,14,7,2016,"07/2016",2012,42,0
"2007",1601,12,1,2,20,28,0,19,7,2016,"07/2016",2015,41,0
"2008",1603,12,1,2,11,45,0,30,7,2016,"07/2016",2016,7,0
"2009",1604,12,1,2,20,20,0,27,7,2016,"07/2016",2015,35,0
"2010",1604,12,2,1,59,59,1,27,7,2016,"07/2016",2016,63,0
"2011",1607,12,1,2,30,32,0,25,7,2016,"07/2016",2016,35,0
"2012",1610,12,1,3,4,23,3,31,7,2016,"07/2016",2011,20,0
"2013",1617,12,2,2,43,50,0,5,8,2016,"08/2016",2016,59,0
"2014",1623,12,1,2,80,81,0,20,7,2016,"07/2016",2012,19,0
"2015",1628,12,1,1,25,25,0,22,7,2016,"07/2016",2012,30,0
"2016",1628,12,3,2,76,80,1,22,7,2016,"07/2016",2016,19,0
"2017",1629,12,1,4,14,64,0,26,7,2016,"07/2016",2017,63,0
"2018",1643,12,1,2,51,53,1,6,8,2016,"08/2016",2012,49,0
"2019",1645,12,1,2,18,18,0,3,8,2016,"08/2016",2008,37,0
"2020",1649,12,2,2,54,54,1,8,8,2016,"08/2016",2015,49,0
"2021",1650,12,1,2,72,81,0,15,7,2016,"07/2016",2013,55,0
"2022",1654,12,2,3,66,86,1,7,8,2016,"08/2016",2011,2,0
"2023",1655,12,1,4,1,50,0,3,8,2016,"08/2016",2016,2,0
"2024",1656,12,2,3,15,39,1,23,3,2016,"03/2016",2010,37,0
"2025",1662,12,1,1,21,21,1,8,8,2016,"08/2016",2013,34,0
"2026",1662,12,2,1,23,23,0,8,8,2016,"08/2016",2016,35,0
"2027",1663,12,1,2,26,80,0,24,7,2016,"07/2016",2012,19,1
"2028",1663,12,2,1,89,89,1,24,7,2016,"07/2016",2016,20,0
"2029",1663,12,3,1,37,37,0,24,7,2016,"07/2016",2011,20,0
"2030",1677,12,2,2,70,89,1,3,7,2016,"07/2016",2016,32,0
"2031",1679,12,1,2,28,28,0,15,7,2016,"07/2016",2014,49,0
"2032",1689,12,2,2,18,36,0,10,8,2016,"08/2016",2013,35,0
"2033",1695,12,1,2,80,88,1,30,6,2016,"06/2016",2015,35,0
"2034",1704,12,2,4,17,33,1,4,8,2016,"08/2016",2009,7,0
"2035",1704,12,3,2,32,52,0,4,8,2016,"08/2016",2015,35,0
"2036",1721,12,3,4,9,66,1,3,8,2016,"08/2016",2013,7,0
"2037",1722,12,1,2,27,28,0,27,7,2016,"07/2016",2014,12,0
"2038",1736,12,1,2,32,35,1,11,8,2016,"08/2016",2014,12,0
"2039",1737,12,2,2,4,43,0,18,8,2016,"08/2016",2012,23,0
"2040",1746,12,1,1,38,38,0,18,8,2016,"08/2016",2016,20,0
"2041",1746,12,2,2,27,69,1,18,8,2016,"08/2016",2012,12,0
"2042",1758,12,1,2,67,78,0,12,8,2016,"08/2016",2013,39,0
"2043",1773,12,1,1,59,59,1,25,8,2016,"08/2016",2009,55,0
"2044",1773,12,2,1,27,27,0,25,8,2016,"08/2016",2016,35,0
"2045",1776,12,2,4,1,31,1,19,8,2016,"08/2016",2015,55,0
"2046",1778,12,2,2,20,21,0,22,8,2016,"08/2016",2008,35,0
"2047",1780,12,1,3,19,24,1,13,8,2016,"08/2016",2008,12,0
"2048",1789,12,1,2,72,74,1,18,8,2016,"08/2016",2014,12,0
"2049",1802,12,1,1,32,32,1,24,8,2016,"08/2016",2014,41,0
"2050",1802,12,3,1,24,24,0,24,8,2016,"08/2016",2015,7,0
"2051",1818,12,1,2,55,58,0,16,8,2016,"08/2016",2016,6,0
"2052",1837,12,1,1,48,48,1,10,8,2016,"08/2016",2008,20,0
"2053",1837,12,2,2,65,68,0,10,8,2016,"08/2016",2008,20,0
"2054",1842,12,1,3,23,27,1,19,3,2016,"03/2016",2013,35,0
"2055",1842,12,2,4,21,57,0,19,3,2016,"03/2016",2008,7,0
"2056",1854,12,2,2,24,72,0,20,8,2016,"08/2016",2016,37,0
"2057",1855,12,2,3,6,24,0,27,8,2016,"08/2016",2016,7,0
"2058",1857,12,1,1,61,61,0,29,8,2016,"08/2016",2008,6,0
"2059",1857,12,2,1,61,61,0,29,8,2016,"08/2016",2008,49,0
"2060",1858,12,1,2,29,62,0,2,9,2016,"09/2016",2013,7,0
"2061",1860,12,1,2,73,73,2,25,8,2016,"08/2016",2016,48,0
"2062",1862,12,1,2,0,22,0,29,8,2016,"08/2016",2008,55,0
"2063",1880,12,1,2,88,91,1,18,4,2016,"04/2016",2016,59,0
"2064",1882,12,1,1,67,67,1,28,8,2016,"08/2016",2009,7,0
"2065",1882,12,2,1,29,29,0,28,8,2016,"08/2016",2012,55,0
"2066",1884,12,1,2,33,40,0,2,9,2016,"09/2016",2009,6,0
"2067",1885,12,1,2,45,50,1,3,9,2016,"09/2016",2008,12,0
"2068",1893,12,1,2,32,40,0,3,9,2016,"09/2016",2014,49,0
"2069",1905,12,2,2,27,73,0,1,9,2016,"09/2016",2015,29,0
"2070",1917,12,2,1,30,30,0,9,9,2016,"09/2016",2013,41,0
"2071",1917,12,3,1,52,52,0,9,9,2016,"09/2016",2013,12,0
"2072",1920,12,1,2,33,58,2,12,9,2016,"09/2016",2008,63,0
"2073",1920,12,2,2,11,41,0,12,9,2016,"09/2016",2013,37,0
"2074",1927,12,1,2,79,87,1,7,1,2016,"01/2016",2016,63,0
"2075",1930,12,1,2,19,20,1,20,8,2016,"08/2016",2012,37,0
"2076",1930,12,2,1,25,25,0,20,8,2016,"08/2016",2011,49,0
"2077",1930,12,4,4,20,25,0,20,8,2016,"08/2016",2016,12,0
"2078",1932,12,1,2,34,41,1,11,9,2016,"09/2016",2015,35,0
"2079",1933,12,2,3,1,37,0,28,8,2016,"08/2016",2011,63,0
"2080",1934,12,2,2,68,68,0,31,8,2016,"08/2016",2011,49,0
"2081",1934,12,4,1,36,36,0,31,8,2016,"08/2016",2013,7,0
"2082",1943,12,2,2,65,70,0,3,8,2016,"08/2016",2015,37,0
"2083",1943,12,3,1,39,39,0,3,8,2016,"08/2016",2012,2,0
"2084",1951,12,1,2,68,71,1,9,2,2016,"02/2016",2008,22,0
"2085",1960,12,1,2,66,67,0,7,7,2016,"07/2016",2014,12,0
"2086",1960,12,2,1,96,96,1,7,7,2016,"07/2016",2016,30,0
"2087",1961,12,1,1,24,24,1,5,8,2016,"08/2016",2015,63,0
"2088",1961,12,2,3,32,35,0,5,8,2016,"08/2016",2016,12,0
"2089",1963,12,1,2,35,58,1,6,9,2016,"09/2016",2008,7,0
"2090",1963,12,2,1,30,30,0,6,9,2016,"09/2016",2008,20,0
"2091",1967,12,1,3,2,23,0,10,9,2016,"09/2016",2011,63,0
"2092",1977,12,1,1,28,28,0,18,9,2016,"09/2016",2010,49,0
"2093",1977,12,2,1,52,52,1,18,9,2016,"09/2016",2015,35,0
"2094",1982,12,1,4,15,19,1,6,9,2016,"09/2016",2010,54,0
"2095",2002,12,2,2,60,71,1,17,9,2016,"09/2016",2011,35,0
"2096",2004,12,1,2,16,26,0,21,9,2016,"09/2016",2015,6,0
"2097",2008,12,1,5,12,70,1,12,8,2016,"08/2016",2009,20,0
"2098",2008,12,2,1,29,29,0,12,8,2016,"08/2016",2014,12,0
"2099",2009,12,1,2,48,70,0,11,9,2016,"09/2016",2008,49,0
"2100",2010,12,1,2,33,50,0,17,9,2016,"09/2016",2012,55,0
"2101",2018,12,1,1,80,80,1,16,9,2016,"09/2016",2012,19,0
"2102",2018,12,2,1,74,74,0,16,9,2016,"09/2016",2015,59,0
"2103",2023,12,1,2,15,16,1,15,9,2016,"09/2016",2009,49,0
"2104",2025,12,1,2,27,39,0,17,9,2016,"09/2016",2012,35,0
"2105",2029,12,1,4,15,18,1,19,9,2016,"09/2016",2011,12,0
"2106",2030,12,1,2,24,25,0,18,9,2016,"09/2016",2012,55,0
"2107",2031,12,3,2,20,20,0,28,8,2016,"08/2016",2009,12,0
"2108",2035,12,1,2,22,23,1,9,9,2016,"09/2016",2011,34,0
"2109",2038,12,1,1,33,33,0,15,9,2016,"09/2016",2012,55,0
"2110",2038,12,2,4,5,37,1,15,9,2016,"09/2016",2016,41,0
"2111",2038,12,3,1,29,29,0,15,9,2016,"09/2016",2016,35,0
"2112",2038,12,4,2,64,65,0,15,9,2016,"09/2016",2015,2,0
"2113",2038,12,5,1,27,27,0,15,9,2016,"09/2016",2008,7,0
"2114",2043,12,2,3,5,29,0,17,9,2016,"09/2016",2013,35,0
"2115",2053,12,1,2,3,25,0,28,5,2016,"05/2016",2008,37,0
"2116",2057,12,2,2,30,57,1,26,9,2016,"09/2016",2009,20,0
"2117",2061,12,1,2,36,61,0,15,9,2016,"09/2016",2013,18,0
"2118",2064,12,1,2,43,50,0,24,9,2016,"09/2016",2012,12,0
"2119",2074,12,2,2,19,20,0,11,9,2016,"09/2016",2010,35,0
"2120",2076,12,1,3,11,43,0,25,9,2016,"09/2016",2016,12,0
"2121",2090,12,1,2,25,31,2,4,9,2016,"09/2016",2016,58,0
"2122",2102,12,1,2,54,59,1,1,7,2016,"07/2016",2014,12,0
"2123",2105,12,1,2,20,23,0,11,9,2016,"09/2016",2009,30,0
"2124",2109,12,1,1,26,26,0,28,9,2016,"09/2016",2016,63,0
"2125",2109,12,2,4,0,79,1,28,9,2016,"09/2016",2014,41,0
"2126",2114,12,1,2,20,26,1,21,9,2016,"09/2016",2008,58,0
"2127",2134,12,1,2,67,70,1,6,9,2016,"09/2016",2016,12,0
"2128",2135,12,1,2,18,18,0,14,9,2016,"09/2016",2014,20,0
"2129",2136,12,1,1,52,52,0,30,8,2016,"08/2016",2013,7,0
"2130",2136,12,3,2,22,25,0,30,8,2016,"08/2016",2013,37,0
"2131",2138,12,1,2,23,23,0,23,9,2016,"09/2016",2009,22,0
"2132",2139,12,1,2,17,21,1,3,10,2016,"10/2016",2012,12,0
"2133",2139,12,2,1,28,28,0,3,10,2016,"10/2016",2011,7,0
"2134",2145,12,2,5,25,33,4,16,9,2016,"09/2016",2016,7,0
"2135",2149,12,1,1,20,20,0,19,8,2016,"08/2016",2013,42,0
"2136",2149,12,2,1,27,27,0,19,8,2016,"08/2016",2010,18,0
"2137",2157,12,2,6,5,88,1,2,10,2016,"10/2016",2014,6,0
"2138",2162,12,1,2,62,67,2,26,9,2016,"09/2016",2017,55,0
"2139",2166,12,2,2,2,31,0,4,10,2016,"10/2016",2012,55,0
