"","casenum","statenum","vehnum","pnum","age","numfatal","day","month","year","date","modelyear","make","cellphoneuse","dup"
"1",2,1,1,1,24,1,10,1,2016,"01/2016",2008,37,0,"yes"
"2",2,1,1,2,22,1,10,1,2016,"01/2016",2008,37,0,"yes"
"3",3,1,1,1,22,1,1,1,2016,"01/2016",2008,20,0,"no"
"4",6,1,1,1,58,1,1,1,2016,"01/2016",2009,49,0,"no"
"5",7,1,1,1,44,1,1,1,2016,"01/2016",2010,63,0,"no"
"6",9,1,1,1,69,0,4,1,2016,"01/2016",2015,35,0,"yes"
"7",9,1,2,1,20,2,4,1,2016,"01/2016",2015,48,0,"yes"
"8",9,1,2,2,19,2,4,1,2016,"01/2016",2015,48,0,"yes"
"9",9,1,2,3,22,2,4,1,2016,"01/2016",2015,48,0,"yes"
"10",14,1,1,1,25,1,8,1,2016,"01/2016",2009,35,0,"yes"
"11",14,1,1,2,4,1,8,1,2016,"01/2016",2009,35,0,"yes"
"12",14,1,1,3,60,1,8,1,2016,"01/2016",2009,35,0,"yes"
"13",14,1,1,4,1,1,8,1,2016,"01/2016",2009,35,0,"yes"
"14",15,1,2,1,75,0,8,1,2016,"01/2016",2014,37,0,"yes"
"15",15,1,2,2,11,0,8,1,2016,"01/2016",2014,37,0,"yes"
"16",18,1,1,1,69,1,13,1,2016,"01/2016",2015,20,0,"no"
"17",23,1,1,1,32,2,14,1,2016,"01/2016",2008,20,0,"yes"
"18",23,1,1,2,22,2,14,1,2016,"01/2016",2008,20,0,"yes"
"19",26,1,1,1,19,1,15,1,2016,"01/2016",2009,52,0,"yes"
"20",26,1,1,2,63,1,15,1,2016,"01/2016",2009,52,0,"yes"
"21",26,1,2,1,62,0,15,1,2016,"01/2016",2014,37,0,"yes"
"22",26,1,2,2,61,0,15,1,2016,"01/2016",2014,37,0,"yes"
"23",26,1,3,1,65,0,15,1,2016,"01/2016",2012,63,0,"yes"
"24",29,1,1,1,46,1,14,1,2016,"01/2016",2012,35,0,"no"
"25",30,1,1,1,22,1,10,1,2016,"01/2016",2008,20,0,"yes"
"26",30,1,1,2,25,1,10,1,2016,"01/2016",2008,20,0,"yes"
"27",30,1,1,3,25,1,10,1,2016,"01/2016",2008,20,0,"yes"
"28",31,1,3,1,54,1,21,1,2016,"01/2016",2015,63,0,"no"
"29",32,1,1,1,32,0,21,1,2016,"01/2016",2015,23,0,"yes"
"30",32,1,1,2,4,0,21,1,2016,"01/2016",2015,23,0,"yes"
"31",32,1,1,3,2,0,21,1,2016,"01/2016",2015,23,0,"yes"
"32",33,1,1,1,61,0,21,1,2016,"01/2016",2010,37,0,"no"
"33",34,1,2,1,25,0,22,1,2016,"01/2016",2008,23,0,"yes"
"34",34,1,2,2,25,0,22,1,2016,"01/2016",2008,23,0,"yes"
"35",34,1,2,3,0,0,22,1,2016,"01/2016",2008,23,0,"yes"
"36",35,1,1,1,85,0,22,1,2016,"01/2016",2015,18,0,"yes"
"37",35,1,1,2,90,0,22,1,2016,"01/2016",2015,18,0,"yes"
"38",38,1,1,1,29,1,26,1,2016,"01/2016",2010,7,0,"no"
"39",41,1,2,1,37,0,28,1,2016,"01/2016",2014,42,0,"yes"
"40",41,1,2,2,5,0,28,1,2016,"01/2016",2014,42,0,"yes"
"41",41,1,2,3,13,0,28,1,2016,"01/2016",2014,42,0,"yes"
"42",41,1,2,4,7,0,28,1,2016,"01/2016",2014,42,0,"yes"
"43",41,1,2,5,11,0,28,1,2016,"01/2016",2014,42,0,"yes"
"44",46,1,1,1,22,1,7,2,2016,"02/2016",2014,35,0,"yes"
"45",46,1,1,2,2,1,7,2,2016,"02/2016",2014,35,0,"yes"
"46",48,1,2,1,31,1,12,2,2016,"02/2016",2012,52,0,"yes"
"47",48,1,3,1,22,0,12,2,2016,"02/2016",2014,2,0,"yes"
"48",48,1,3,2,26,0,12,2,2016,"02/2016",2014,2,0,"yes"
"49",50,1,1,1,31,1,12,2,2016,"02/2016",2015,12,0,"no"
"50",52,1,1,1,39,0,30,1,2016,"01/2016",2008,6,0,"yes"
"51",52,1,1,2,36,0,30,1,2016,"01/2016",2008,6,0,"yes"
"52",52,1,1,3,20,0,30,1,2016,"01/2016",2008,6,0,"yes"
"53",54,1,2,1,18,0,1,2,2016,"02/2016",2010,30,0,"no"
"54",55,1,1,1,31,0,3,2,2016,"02/2016",2013,35,0,"yes"
"55",55,1,2,1,35,1,3,2,2016,"02/2016",2014,20,0,"yes"
"56",59,1,1,1,64,0,6,2,2016,"02/2016",2015,63,0,"no"
"57",61,1,2,1,28,0,8,2,2016,"02/2016",2012,2,0,"yes"
"58",61,1,3,1,25,0,8,2,2016,"02/2016",2014,41,0,"yes"
"59",62,1,1,1,71,1,9,2,2016,"02/2016",2009,49,0,"no"
"60",63,1,4,1,52,0,22,3,2016,"03/2016",2011,52,0,"no"
"61",66,1,1,1,53,1,7,2,2016,"02/2016",2008,20,0,"no"
"62",67,1,1,1,83,1,9,2,2016,"02/2016",2014,49,0,"no"
"63",73,1,1,1,55,0,26,2,2016,"02/2016",2015,30,0,"no"
"64",77,1,1,1,26,0,16,2,2016,"02/2016",2011,20,0,"yes"
"65",77,1,2,1,73,2,16,2,2016,"02/2016",2014,42,0,"yes"
"66",77,1,2,2,55,2,16,2,2016,"02/2016",2014,42,0,"yes"
"67",80,1,1,1,22,2,18,2,2016,"02/2016",2014,20,0,"yes"
"68",80,1,1,2,18,2,18,2,2016,"02/2016",2014,20,0,"yes"
"69",81,1,1,1,87,3,18,2,2016,"02/2016",2015,13,0,"yes"
"70",81,1,1,2,84,3,18,2,2016,"02/2016",2015,13,0,"yes"
"71",81,1,1,3,77,3,18,2,2016,"02/2016",2015,13,0,"yes"
"72",82,1,1,1,19,1,20,2,2016,"02/2016",2011,55,1,"yes"
"73",82,1,1,2,19,1,20,2,2016,"02/2016",2011,55,1,"yes"
"74",85,1,1,1,56,0,21,2,2016,"02/2016",2011,12,0,"no"
"75",88,1,2,1,49,0,23,2,2016,"02/2016",2016,12,0,"no"
"76",91,1,1,1,58,0,25,2,2016,"02/2016",2012,20,0,"no"
"77",94,1,1,1,28,1,26,2,2016,"02/2016",2008,20,0,"no"
"78",109,1,1,1,34,0,5,3,2016,"03/2016",2010,20,0,"yes"
"79",109,1,1,2,31,0,5,3,2016,"03/2016",2010,20,0,"yes"
"80",112,1,1,1,22,1,7,3,2016,"03/2016",2008,2,0,"yes"
"81",112,1,1,2,20,1,7,3,2016,"03/2016",2008,2,0,"yes"
"82",113,1,1,1,60,0,8,3,2016,"03/2016",2011,35,0,"no"
"83",114,1,1,1,25,1,8,3,2016,"03/2016",2008,12,0,"no"
"84",117,1,1,1,55,0,9,3,2016,"03/2016",2013,55,0,"yes"
"85",117,1,2,1,47,0,9,3,2016,"03/2016",2013,30,0,"yes"
"86",123,1,1,1,41,1,15,3,2016,"03/2016",2010,30,0,"no"
"87",126,1,1,1,19,1,19,3,2016,"03/2016",2008,49,0,"yes"
"88",126,1,1,2,19,1,19,3,2016,"03/2016",2008,49,0,"yes"
"89",130,1,1,1,32,0,29,3,2016,"03/2016",2008,59,1,"no"
"90",132,1,1,1,35,1,31,3,2016,"03/2016",2008,20,0,"no"
"91",139,1,1,1,35,1,19,3,2016,"03/2016",2010,20,0,"no"
"92",144,1,2,1,47,0,11,3,2016,"03/2016",2010,14,0,"no"
"93",148,1,2,1,29,0,17,3,2016,"03/2016",2012,23,0,"no"
"94",152,1,1,1,72,1,22,3,2016,"03/2016",2010,49,0,"no"
"95",155,1,2,1,19,1,24,3,2016,"03/2016",2011,63,0,"yes"
"96",155,1,2,2,20,1,24,3,2016,"03/2016",2011,63,0,"yes"
"97",160,1,1,1,23,1,29,3,2016,"03/2016",2012,30,0,"no"
"98",164,1,1,1,20,2,30,3,2016,"03/2016",2008,14,0,"yes"
"99",164,1,1,2,22,2,30,3,2016,"03/2016",2008,14,0,"yes"
"100",170,1,1,1,23,1,3,4,2016,"04/2016",2014,12,0,"no"
"101",171,1,1,1,24,0,14,4,2016,"04/2016",2014,63,0,"no"
"102",184,1,1,1,70,0,3,4,2016,"04/2016",2009,49,0,"yes"
"103",184,1,1,2,62,0,3,4,2016,"04/2016",2009,49,0,"yes"
"104",193,1,2,1,61,0,23,4,2016,"04/2016",2013,18,0,"no"
"105",195,1,1,1,30,1,25,4,2016,"04/2016",2015,63,0,"no"
"106",196,1,1,1,56,1,25,4,2016,"04/2016",2013,23,0,"no"
"107",199,1,2,1,25,0,29,4,2016,"04/2016",2011,20,0,"no"
"108",201,1,1,1,78,0,2,2,2016,"02/2016",2009,49,0,"no"
"109",203,1,2,1,27,1,13,2,2016,"02/2016",2016,35,0,"yes"
"110",203,1,2,2,42,1,13,2,2016,"02/2016",2016,35,0,"yes"
"111",203,1,2,3,4,1,13,2,2016,"02/2016",2016,35,0,"yes"
"112",203,1,2,4,6,1,13,2,2016,"02/2016",2016,35,0,"yes"
"113",203,1,2,5,53,1,13,2,2016,"02/2016",2016,35,0,"yes"
"114",205,1,2,1,49,0,16,2,2016,"02/2016",2011,20,0,"yes"
"115",205,1,2,2,66,0,16,2,2016,"02/2016",2011,20,0,"yes"
"116",211,1,1,1,82,1,9,2,2016,"02/2016",2015,12,0,"yes"
"117",211,1,1,2,82,1,9,2,2016,"02/2016",2015,12,0,"yes"
"118",212,1,2,1,20,0,7,2,2016,"02/2016",2010,37,0,"no"
"119",217,1,1,1,26,1,4,2,2016,"02/2016",2015,12,0,"no"
"120",218,1,1,1,43,1,2,1,2016,"01/2016",2008,20,0,"no"
"121",227,1,1,1,18,0,2,1,2016,"01/2016",2011,12,0,"yes"
"122",227,1,2,1,27,1,2,1,2016,"01/2016",2012,20,0,"yes"
"123",227,1,2,2,20,1,2,1,2016,"01/2016",2012,20,0,"yes"
"124",227,1,2,3,12,1,2,1,2016,"01/2016",2012,20,0,"yes"
"125",227,1,3,1,41,0,2,1,2016,"01/2016",2008,2,0,"yes"
"126",227,1,3,2,17,0,2,1,2016,"01/2016",2008,2,0,"yes"
"127",231,1,1,1,61,1,21,4,2016,"04/2016",2011,19,0,"no"
"128",239,1,1,1,42,2,3,5,2016,"05/2016",2009,12,0,"yes"
"129",239,1,1,2,27,2,3,5,2016,"05/2016",2009,12,0,"yes"
"130",239,1,1,3,25,2,3,5,2016,"05/2016",2009,12,0,"yes"
"131",246,1,1,1,68,1,7,5,2016,"05/2016",2011,37,0,"yes"
"132",246,1,2,1,74,0,7,5,2016,"05/2016",2015,49,0,"yes"
"133",246,1,2,2,71,0,7,5,2016,"05/2016",2015,49,0,"yes"
"134",248,1,1,1,74,1,9,5,2016,"05/2016",2010,49,0,"no"
"135",253,1,1,1,22,0,14,4,2016,"04/2016",2012,12,0,"no"
"136",258,1,1,1,78,1,6,5,2016,"05/2016",2013,18,0,"no"
"137",262,1,1,1,23,0,12,5,2016,"05/2016",2008,12,0,"no"
"138",264,1,1,1,68,0,12,5,2016,"05/2016",2010,12,0,"yes"
"139",264,1,5,1,43,0,12,5,2016,"05/2016",2012,35,0,"yes"
"140",265,1,1,1,54,0,13,5,2016,"05/2016",2008,12,0,"no"
"141",267,1,1,1,26,1,14,5,2016,"05/2016",2008,49,0,"no"
"142",271,1,1,1,44,1,18,5,2016,"05/2016",2011,12,0,"yes"
"143",271,1,2,1,52,0,18,5,2016,"05/2016",2012,7,0,"yes"
"144",273,1,2,1,17,1,5,4,2016,"04/2016",2010,2,0,"no"
"145",277,1,1,1,34,0,21,5,2016,"05/2016",2014,55,0,"no"
"146",279,1,1,1,80,1,22,5,2016,"05/2016",2014,12,0,"no"
"147",285,1,1,1,52,1,25,5,2016,"05/2016",2010,37,0,"no"
"148",289,1,1,1,16,1,26,5,2016,"05/2016",2008,20,0,"no"
"149",291,1,1,1,69,1,26,5,2016,"05/2016",2012,49,0,"no"
"150",303,1,1,1,27,1,5,6,2016,"06/2016",2013,35,0,"no"
"151",306,1,1,1,24,0,4,6,2016,"06/2016",2014,7,0,"no"
"152",314,1,1,1,23,0,31,5,2016,"05/2016",2010,20,0,"no"
"153",315,1,1,1,67,2,1,6,2016,"06/2016",2012,20,0,"yes"
"154",315,1,1,2,74,2,1,6,2016,"06/2016",2012,20,0,"yes"
"155",315,1,2,1,52,0,1,6,2016,"06/2016",2014,55,0,"yes"
"156",322,1,2,1,20,0,7,6,2016,"06/2016",2009,14,0,"no"
"157",324,1,1,1,25,0,8,6,2016,"06/2016",2016,37,0,"yes"
"158",324,1,1,2,23,0,8,6,2016,"06/2016",2016,37,0,"yes"
"159",328,1,1,1,63,2,11,6,2016,"06/2016",2013,20,0,"yes"
"160",328,1,1,2,67,2,11,6,2016,"06/2016",2013,20,0,"yes"
"161",333,1,3,1,46,0,3,7,2016,"07/2016",2013,32,0,"yes"
"162",333,1,3,2,46,0,3,7,2016,"07/2016",2013,32,0,"yes"
"163",334,1,1,1,86,2,23,6,2016,"06/2016",2009,23,0,"yes"
"164",334,1,1,2,75,2,23,6,2016,"06/2016",2009,23,0,"yes"
"165",338,1,2,1,46,0,23,6,2016,"06/2016",2009,12,0,"no"
"166",339,1,1,1,24,2,9,6,2016,"06/2016",2009,12,0,"yes"
"167",339,1,1,2,25,2,9,6,2016,"06/2016",2009,12,0,"yes"
"168",340,1,1,1,33,0,9,6,2016,"06/2016",2013,12,0,"no"
"169",343,1,1,1,36,0,10,6,2016,"06/2016",2012,49,0,"no"
"170",345,1,1,1,29,0,11,6,2016,"06/2016",2008,49,0,"no"
"171",349,1,1,1,34,1,17,6,2016,"06/2016",2013,13,0,"no"
"172",357,1,1,1,71,1,23,6,2016,"06/2016",2012,55,0,"yes"
"173",357,1,1,2,0,1,23,6,2016,"06/2016",2012,55,0,"yes"
"174",358,1,1,1,32,1,23,6,2016,"06/2016",2013,55,0,"no"
"175",367,1,1,1,30,1,25,6,2016,"06/2016",2014,35,0,"no"
"176",368,1,1,1,23,1,26,6,2016,"06/2016",2008,35,0,"no"
"177",370,1,2,1,38,0,27,6,2016,"06/2016",2015,7,0,"yes"
"178",370,1,2,2,35,0,27,6,2016,"06/2016",2015,7,0,"yes"
"179",373,1,1,1,56,1,28,6,2016,"06/2016",2008,23,0,"no"
"180",374,1,2,1,63,0,28,6,2016,"06/2016",2015,49,0,"no"
"181",376,1,1,1,52,1,30,6,2016,"06/2016",2014,35,0,"no"
"182",387,1,2,1,38,0,17,3,2016,"03/2016",2011,20,0,"no"
"183",389,1,1,1,18,1,4,3,2016,"03/2016",2008,37,0,"no"
"184",391,1,1,1,28,0,6,3,2016,"03/2016",2008,35,0,"no"
"185",396,1,1,1,39,1,21,4,2016,"04/2016",2016,55,0,"yes"
"186",396,1,1,2,5,1,21,4,2016,"04/2016",2016,55,0,"yes"
"187",396,1,2,1,50,0,21,4,2016,"04/2016",2012,12,0,"yes"
"188",397,1,2,1,50,1,9,4,2016,"04/2016",2011,12,0,"yes"
"189",397,1,2,2,58,1,9,4,2016,"04/2016",2011,12,0,"yes"
"190",397,1,2,3,35,1,9,4,2016,"04/2016",2011,12,0,"yes"
"191",397,1,2,4,8,1,9,4,2016,"04/2016",2011,12,0,"yes"
"192",398,1,1,1,53,0,7,4,2016,"04/2016",2014,63,0,"yes"
"193",398,1,1,2,2,0,7,4,2016,"04/2016",2014,63,0,"yes"
"194",400,1,1,1,21,1,22,3,2016,"03/2016",2012,12,0,"no"
"195",403,1,1,1,27,1,19,6,2016,"06/2016",2011,23,0,"no"
"196",406,1,1,1,66,1,27,6,2016,"06/2016",2014,20,0,"yes"
"197",406,1,1,2,60,1,27,6,2016,"06/2016",2014,20,0,"yes"
"198",408,1,1,1,53,0,30,6,2016,"06/2016",2016,7,0,"yes"
"199",408,1,1,2,27,0,30,6,2016,"06/2016",2016,7,0,"yes"
"200",408,1,1,3,2,0,30,6,2016,"06/2016",2016,7,0,"yes"
"201",408,1,1,4,3,0,30,6,2016,"06/2016",2016,7,0,"yes"
"202",414,1,1,1,22,1,10,7,2016,"07/2016",2016,20,0,"no"
"203",416,1,1,1,50,1,13,7,2016,"07/2016",2016,49,0,"yes"
"204",416,1,1,2,25,1,13,7,2016,"07/2016",2016,49,0,"yes"
"205",417,1,1,1,72,0,15,7,2016,"07/2016",2014,12,0,"yes"
"206",417,1,2,1,48,1,15,7,2016,"07/2016",2011,37,0,"yes"
"207",417,1,2,2,11,1,15,7,2016,"07/2016",2011,37,0,"yes"
"208",417,1,2,3,11,1,15,7,2016,"07/2016",2011,37,0,"yes"
"209",417,1,3,1,19,0,15,7,2016,"07/2016",2014,23,0,"yes"
"210",417,1,3,2,19,0,15,7,2016,"07/2016",2014,23,0,"yes"
"211",417,1,4,1,48,0,15,7,2016,"07/2016",2012,12,0,"yes"
"212",417,1,4,2,34,0,15,7,2016,"07/2016",2012,12,0,"yes"
"213",417,1,4,3,22,0,15,7,2016,"07/2016",2012,12,0,"yes"
"214",417,1,4,4,22,0,15,7,2016,"07/2016",2012,12,0,"yes"
"215",425,1,2,1,34,0,10,4,2016,"04/2016",2011,23,0,"no"
"216",430,1,1,1,37,1,26,7,2016,"07/2016",2009,37,0,"no"
"217",437,1,1,1,51,1,15,7,2016,"07/2016",2009,7,0,"no"
"218",439,1,2,1,32,5,18,7,2016,"07/2016",2014,35,0,"yes"
"219",439,1,2,2,58,5,18,7,2016,"07/2016",2014,35,0,"yes"
"220",439,1,2,3,7,5,18,7,2016,"07/2016",2014,35,0,"yes"
"221",439,1,2,4,58,5,18,7,2016,"07/2016",2014,35,0,"yes"
"222",439,1,2,5,4,5,18,7,2016,"07/2016",2014,35,0,"yes"
"223",444,1,1,1,40,0,23,7,2016,"07/2016",2011,20,0,"no"
"224",447,1,1,1,38,1,24,7,2016,"07/2016",2008,63,0,"yes"
"225",447,1,1,2,40,1,24,7,2016,"07/2016",2008,63,0,"yes"
"226",448,1,1,1,39,1,24,7,2016,"07/2016",2009,59,0,"no"
"227",453,1,1,1,27,0,27,7,2016,"07/2016",2014,20,0,"no"
"228",454,1,2,1,26,0,28,7,2016,"07/2016",2014,23,0,"no"
"229",455,1,1,1,67,1,29,7,2016,"07/2016",2015,12,0,"no"
"230",456,1,1,1,18,1,31,7,2016,"07/2016",2008,20,0,"no"
"231",458,1,2,1,58,0,1,8,2016,"08/2016",2016,12,0,"no"
"232",462,1,1,1,40,1,3,8,2016,"08/2016",2014,12,0,"yes"
"233",462,1,1,2,15,1,3,8,2016,"08/2016",2014,12,0,"yes"
"234",462,1,1,3,6,1,3,8,2016,"08/2016",2014,12,0,"yes"
"235",462,1,1,4,6,1,3,8,2016,"08/2016",2014,12,0,"yes"
"236",468,1,1,1,19,0,14,8,2016,"08/2016",2013,20,0,"yes"
"237",468,1,2,1,37,1,14,8,2016,"08/2016",2016,37,0,"yes"
"238",468,1,3,1,52,0,14,8,2016,"08/2016",2015,20,0,"yes"
"239",469,1,2,1,26,0,14,8,2016,"08/2016",2012,49,0,"no"
"240",470,1,1,1,18,1,14,8,2016,"08/2016",2009,37,0,"yes"
"241",470,1,1,2,20,1,14,8,2016,"08/2016",2009,37,0,"yes"
"242",470,1,1,3,18,1,14,8,2016,"08/2016",2009,37,0,"yes"
"243",470,1,1,4,20,1,14,8,2016,"08/2016",2009,37,0,"yes"
"244",474,1,2,1,24,0,20,8,2016,"08/2016",2014,12,0,"no"
"245",475,1,1,1,41,0,20,8,2016,"08/2016",2013,41,0,"no"
"246",483,1,2,1,17,0,6,8,2016,"08/2016",2010,49,0,"yes"
"247",483,1,4,1,22,0,6,8,2016,"08/2016",2013,41,0,"yes"
"248",484,1,1,1,31,1,12,8,2016,"08/2016",2015,49,0,"no"
"249",485,1,1,1,52,0,9,8,2016,"08/2016",2015,12,0,"yes"
"250",485,1,3,1,31,0,9,8,2016,"08/2016",2011,37,0,"yes"
"251",489,1,1,1,25,2,13,8,2016,"08/2016",2013,12,0,"yes"
"252",489,1,1,2,33,2,13,8,2016,"08/2016",2013,12,0,"yes"
"253",489,1,1,3,33,2,13,8,2016,"08/2016",2013,12,0,"yes"
"254",499,1,1,1,20,2,18,8,2016,"08/2016",2011,35,0,"yes"
"255",499,1,1,2,18,2,18,8,2016,"08/2016",2011,35,0,"yes"
"256",499,1,2,1,32,0,18,8,2016,"08/2016",2015,20,0,"yes"
"257",499,1,2,2,3,0,18,8,2016,"08/2016",2015,20,0,"yes"
"258",504,1,1,1,61,0,20,8,2016,"08/2016",2009,20,0,"no"
"259",510,1,2,1,33,0,22,8,2016,"08/2016",2013,23,0,"no"
"260",513,1,1,1,69,1,24,8,2016,"08/2016",2016,7,0,"yes"
"261",513,1,1,2,67,1,24,8,2016,"08/2016",2016,7,0,"yes"
"262",514,1,1,1,65,1,24,8,2016,"08/2016",2008,12,0,"no"
"263",516,1,1,1,28,1,28,8,2016,"08/2016",2010,6,0,"no"
"264",518,1,1,1,48,1,13,9,2016,"09/2016",2008,20,0,"yes"
"265",518,1,1,2,51,1,13,9,2016,"09/2016",2008,20,0,"yes"
"266",521,1,1,1,50,0,4,9,2016,"09/2016",2010,58,0,"yes"
"267",521,1,1,2,43,0,4,9,2016,"09/2016",2010,58,0,"yes"
"268",521,1,1,3,18,0,4,9,2016,"09/2016",2010,58,0,"yes"
"269",521,1,1,4,20,0,4,9,2016,"09/2016",2010,58,0,"yes"
"270",523,1,2,1,33,0,16,8,2016,"08/2016",2008,54,0,"no"
"271",525,1,1,1,55,0,17,8,2016,"08/2016",2008,7,0,"no"
"272",527,1,1,1,75,1,22,8,2016,"08/2016",2008,20,0,"no"
"273",533,1,2,3,26,1,28,8,2016,"08/2016",2008,20,0,"no"
"274",535,1,1,1,28,1,31,8,2016,"08/2016",2014,12,0,"yes"
"275",535,1,1,2,28,1,31,8,2016,"08/2016",2014,12,0,"yes"
"276",540,1,1,1,44,1,1,9,2016,"09/2016",2013,35,0,"yes"
"277",540,1,2,1,37,0,1,9,2016,"09/2016",2008,12,0,"yes"
"278",540,1,2,2,31,0,1,9,2016,"09/2016",2008,12,0,"yes"
"279",540,1,2,3,1,0,1,9,2016,"09/2016",2008,12,0,"yes"
"280",541,1,2,1,47,0,1,9,2016,"09/2016",2016,7,0,"no"
"281",545,1,2,1,27,0,4,9,2016,"09/2016",2014,20,0,"no"
"282",546,1,1,1,69,1,4,9,2016,"09/2016",2012,6,0,"yes"
"283",546,1,1,2,62,1,4,9,2016,"09/2016",2012,6,0,"yes"
"284",548,1,1,1,18,1,5,9,2016,"09/2016",2011,37,0,"no"
"285",550,1,2,1,74,1,6,9,2016,"09/2016",2013,7,0,"no"
"286",551,1,1,1,33,0,6,9,2016,"09/2016",2011,49,0,"no"
"287",554,1,1,1,20,0,9,9,2016,"09/2016",2008,41,0,"no"
"288",557,1,2,1,59,0,22,5,2016,"05/2016",2014,63,0,"yes"
"289",557,1,2,2,57,0,22,5,2016,"05/2016",2014,63,0,"yes"
"290",560,1,2,1,46,0,28,5,2016,"05/2016",2009,2,0,"no"
"291",563,1,1,1,51,0,21,5,2016,"05/2016",2008,20,0,"yes"
"292",563,1,2,1,67,1,21,5,2016,"05/2016",2014,49,0,"yes"
"293",568,1,2,1,25,0,2,5,2016,"05/2016",2013,23,0,"no"
"294",570,1,1,1,20,0,3,5,2016,"05/2016",2011,20,0,"yes"
"295",570,1,1,2,19,0,3,5,2016,"05/2016",2011,20,0,"yes"
"296",570,1,1,3,2,0,3,5,2016,"05/2016",2011,20,0,"yes"
"297",570,1,2,1,62,1,3,5,2016,"05/2016",2016,20,0,"yes"
"298",570,1,2,2,64,1,3,5,2016,"05/2016",2016,20,0,"yes"
"299",570,1,2,3,66,1,3,5,2016,"05/2016",2016,20,0,"yes"
"300",570,1,3,1,43,0,3,5,2016,"05/2016",2013,23,0,"yes"
"301",570,1,3,2,14,0,3,5,2016,"05/2016",2013,23,0,"yes"
"302",570,1,3,3,11,0,3,5,2016,"05/2016",2013,23,0,"yes"
"303",571,1,2,1,70,0,23,5,2016,"05/2016",2008,37,0,"yes"
"304",571,1,2,2,69,0,23,5,2016,"05/2016",2008,37,0,"yes"
"305",572,1,2,1,26,2,27,5,2016,"05/2016",2015,20,0,"yes"
"306",572,1,2,2,29,2,27,5,2016,"05/2016",2015,20,0,"yes"
"307",572,1,2,3,25,2,27,5,2016,"05/2016",2015,20,0,"yes"
"308",572,1,2,4,31,2,27,5,2016,"05/2016",2015,20,0,"yes"
"309",572,1,2,5,10,2,27,5,2016,"05/2016",2015,20,0,"yes"
"310",573,1,1,1,47,1,27,5,2016,"05/2016",2014,2,0,"yes"
"311",573,1,1,2,47,1,27,5,2016,"05/2016",2014,2,0,"yes"
"312",576,1,1,1,32,1,11,9,2016,"09/2016",2012,41,0,"no"
"313",581,1,1,1,63,1,12,9,2016,"09/2016",2008,12,0,"no"
"314",585,1,1,1,58,1,15,9,2016,"09/2016",2009,55,0,"no"
"315",586,1,1,1,46,1,17,9,2016,"09/2016",2014,55,0,"yes"
"316",586,1,2,1,22,0,17,9,2016,"09/2016",2009,35,0,"yes"
"317",586,1,2,2,22,0,17,9,2016,"09/2016",2009,35,0,"yes"
"318",587,1,1,1,31,0,17,9,2016,"09/2016",2011,42,0,"yes"
"319",587,1,1,2,11,0,17,9,2016,"09/2016",2011,42,0,"yes"
"320",587,1,1,3,9,0,17,9,2016,"09/2016",2011,42,0,"yes"
"321",590,1,1,1,23,1,18,9,2016,"09/2016",2010,7,0,"no"
"322",591,1,4,1,52,0,18,9,2016,"09/2016",2013,55,0,"no"
"323",592,1,2,1,27,0,24,9,2016,"09/2016",2010,6,0,"yes"
"324",592,1,3,1,35,0,24,9,2016,"09/2016",2013,49,0,"yes"
"325",592,1,4,1,27,0,24,9,2016,"09/2016",2013,37,0,"yes"
"326",592,1,4,2,36,0,24,9,2016,"09/2016",2013,37,0,"yes"
"327",592,1,4,3,28,0,24,9,2016,"09/2016",2013,37,0,"yes"
"328",593,1,1,1,18,0,29,9,2016,"09/2016",2012,12,0,"yes"
"329",593,1,1,2,42,0,29,9,2016,"09/2016",2012,12,0,"yes"
"330",600,1,3,1,20,0,9,10,2016,"10/2016",2011,49,0,"yes"
"331",600,1,4,1,22,0,9,10,2016,"10/2016",2008,51,0,"yes"
"332",601,1,1,1,28,0,12,10,2016,"10/2016",2013,63,0,"yes"
"333",601,1,2,1,54,1,12,10,2016,"10/2016",2016,48,0,"yes"
"334",601,1,2,2,50,1,12,10,2016,"10/2016",2016,48,0,"yes"
"335",605,1,1,1,19,1,10,9,2016,"09/2016",2014,35,0,"no"
"336",614,1,1,1,20,1,22,9,2016,"09/2016",2010,41,0,"yes"
"337",614,1,1,2,21,1,22,9,2016,"09/2016",2010,41,0,"yes"
"338",616,1,2,1,36,0,20,9,2016,"09/2016",2012,55,0,"yes"
"339",616,1,2,2,39,0,20,9,2016,"09/2016",2012,55,0,"yes"
"340",618,1,1,1,60,1,21,9,2016,"09/2016",2013,12,0,"no"
"341",629,1,1,1,33,0,27,9,2016,"09/2016",2014,6,0,"yes"
"342",629,1,1,2,11,0,27,9,2016,"09/2016",2014,6,0,"yes"
"343",630,1,1,1,24,0,29,9,2016,"09/2016",2013,35,0,"no"
"344",634,1,1,1,22,1,29,9,2016,"09/2016",2013,49,0,"no"
"345",636,1,2,1,38,1,29,9,2016,"09/2016",2012,23,0,"yes"
"346",636,1,2,2,6,1,29,9,2016,"09/2016",2012,23,0,"yes"
"347",636,1,2,3,10,1,29,9,2016,"09/2016",2012,23,0,"yes"
"348",637,1,1,1,66,0,30,9,2016,"09/2016",2012,20,0,"no"
"349",643,1,1,1,28,0,1,10,2016,"10/2016",2014,12,0,"no"
"350",644,1,1,1,26,1,1,10,2016,"10/2016",2013,55,0,"yes"
"351",644,1,1,2,0,1,1,10,2016,"10/2016",2013,55,0,"yes"
