"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","makename","cellphoneuse"
"65",116,5,3,1,50,50,1,10,4,2016,"04/2016",2012,12,"Ford",0
"66",156,5,1,1,37,37,0,13,5,2016,"05/2016",2012,12,"Ford",0
"67",241,5,1,1,18,18,0,2,7,2016,"07/2016",2012,12,"Ford",0
"68",272,5,1,1,24,24,1,8,8,2016,"08/2016",2012,12,"Ford",0
"69",313,5,3,6,0,53,1,14,9,2016,"09/2016",2014,12,"Ford",0
"70",350,5,1,1,52,52,1,20,10,2016,"10/2016",2013,12,"Ford",0
"71",406,5,3,1,25,25,0,13,12,2016,"12/2016",2012,12,"Ford",0
"72",416,5,2,2,15,16,0,22,12,2016,"12/2016",2013,12,"Ford",0
"73",419,5,1,2,59,67,1,21,12,2016,"12/2016",2013,12,"Ford",0
"74",422,5,1,1,74,74,1,12,12,2016,"12/2016",2009,12,"Ford",0
"75",422,5,2,1,63,63,0,12,12,2016,"12/2016",2016,12,"Ford",0
"76",460,5,1,1,25,25,0,25,10,2016,"10/2016",2014,12,"Ford",0
"77",462,5,1,1,84,84,1,2,10,2016,"10/2016",2008,12,"Ford",0
